candidate_id,benchmark,backend,supported_width,cut_size,generated_nodes,area_estimate,depth_estimate,synthesis_status,artifact_path,failure_reason,schema_version
closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,semantic_expression_materialization,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,z3_backed_boolean_miter,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,abc_internal_node_exposure,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,truth_table_lut,6,6,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,structural_cut_cone_transfer,6,6,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,semantic_expression_materialization,6,6,2,2,1,generated,,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,z3_backed_boolean_miter,6,6,2,2,1,generated,,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,abc_internal_node_exposure,6,6,2,2,1,generated,,,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart,requires_residual_variable,truth_table_lut,2,2,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart,requires_residual_variable,structural_cut_cone_transfer,2,2,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart,requires_residual_variable,semantic_expression_materialization,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart,requires_residual_variable,z3_backed_boolean_miter,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart,requires_residual_variable,abc_internal_node_exposure,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart,requires_multi_output_m,truth_table_lut,2,2,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart,requires_multi_output_m,structural_cut_cone_transfer,2,2,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart,requires_multi_output_m,semantic_expression_materialization,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart,requires_multi_output_m,z3_backed_boolean_miter,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart,requires_multi_output_m,abc_internal_node_exposure,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
negative_information_lost__active_source_counterpart,negative_information_lost,truth_table_lut,1,1,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
negative_information_lost__active_source_counterpart,negative_information_lost,structural_cut_cone_transfer,1,1,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
negative_information_lost__active_source_counterpart,negative_information_lost,semantic_expression_materialization,1,1,1,1,1,generated,,,active_source_counterpart_refactoring_v1
negative_information_lost__active_source_counterpart,negative_information_lost,z3_backed_boolean_miter,1,1,1,1,1,generated,,,active_source_counterpart_refactoring_v1
negative_information_lost__active_source_counterpart,negative_information_lost,abc_internal_node_exposure,1,1,1,1,1,generated,,,active_source_counterpart_refactoring_v1
negative_h_ignores_m__active_source_counterpart,negative_h_ignores_m,truth_table_lut,1,1,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
negative_h_ignores_m__active_source_counterpart,negative_h_ignores_m,structural_cut_cone_transfer,1,1,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
negative_h_ignores_m__active_source_counterpart,negative_h_ignores_m,semantic_expression_materialization,1,1,1,1,1,generated,,,active_source_counterpart_refactoring_v1
negative_h_ignores_m__active_source_counterpart,negative_h_ignores_m,z3_backed_boolean_miter,1,1,1,1,1,generated,,,active_source_counterpart_refactoring_v1
negative_h_ignores_m__active_source_counterpart,negative_h_ignores_m,abc_internal_node_exposure,1,1,1,1,1,generated,,,active_source_counterpart_refactoring_v1
negative_identity_divisor__active_source_counterpart,negative_identity_divisor,truth_table_lut,2,2,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
negative_identity_divisor__active_source_counterpart,negative_identity_divisor,structural_cut_cone_transfer,2,2,0,0,0,not_selected_ablation,,,active_source_counterpart_refactoring_v1
negative_identity_divisor__active_source_counterpart,negative_identity_divisor,semantic_expression_materialization,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
negative_identity_divisor__active_source_counterpart,negative_identity_divisor,z3_backed_boolean_miter,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
negative_identity_divisor__active_source_counterpart,negative_identity_divisor,abc_internal_node_exposure,2,2,2,2,1,generated,,,active_source_counterpart_refactoring_v1
