region_id,case_id,optimization,source_type,input_count,output_count,structural_coverage,simulation_coverage,boolean_difference_coverage,formal_dependency_coverage,dependency_density,row_density_mean,column_density_mean,lower_triangularity,upper_triangularity,diagonal_concentration,bandwidth,minimum_dependency_slope,maximum_dependency_slope,carry_progression_score,multiplier_diagonal_score,operand_symmetry_score,output_prefix_dependency_score,selectivity_change_score,single_output_control_score,high_bit_priority_score,locality_score,regularity_score,simulation_evidence_level,boolean_difference_evidence_level,pattern_count,seed,runtime_seconds,schema_version
arithmetic_affine_w4__balance__whole_output_cone,arithmetic_affine_w4,balance,whole_output_cone,4,7,1.000000,1.000000,1.000000,0.000000,0.607143,0.607143,0.607143,1.000000,0.352941,0.352941,0.500000,1.000000,5.000000,0.750000,0.392857,0.785714,1.000000,1.000000,0.000000,0.750000,0.500000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.008178,semantic_dependency_v1
arithmetic_affine_w4__compress2rs__whole_output_cone,arithmetic_affine_w4,compress2rs,whole_output_cone,4,7,1.000000,1.000000,1.000000,0.000000,0.607143,0.607143,0.607143,1.000000,0.352941,0.352941,0.500000,1.000000,5.000000,0.750000,0.392857,0.785714,1.000000,1.000000,0.000000,0.750000,0.500000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.005761,semantic_dependency_v1
arithmetic_affine_w4__dc2__whole_output_cone,arithmetic_affine_w4,dc2,whole_output_cone,4,7,1.000000,1.000000,1.000000,0.000000,0.607143,0.607143,0.607143,1.000000,0.352941,0.352941,0.500000,1.000000,5.000000,0.750000,0.392857,0.785714,1.000000,1.000000,0.000000,0.750000,0.500000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.005639,semantic_dependency_v1
arithmetic_affine_w4__identity__ground_truth_region,arithmetic_affine_w4,identity,ground_truth_region,4,7,1.000000,1.000000,1.000000,0.000000,0.857143,0.857143,0.857143,0.750000,0.500000,0.250000,0.500000,0.000000,5.000000,0.562500,0.642857,1.000000,0.750000,1.000000,0.000000,0.750000,0.500000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.005586,semantic_dependency_v1
arithmetic_affine_w4__identity__whole_output_cone,arithmetic_affine_w4,identity,whole_output_cone,4,7,1.000000,1.000000,1.000000,0.000000,0.857143,0.857143,0.857143,0.750000,0.500000,0.250000,0.500000,0.000000,5.000000,0.562500,0.642857,1.000000,0.750000,1.000000,0.000000,0.750000,0.500000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.005610,semantic_dependency_v1
arithmetic_affine_w4__refactor__whole_output_cone,arithmetic_affine_w4,refactor,whole_output_cone,4,7,1.000000,1.000000,1.000000,0.000000,0.607143,0.607143,0.607143,1.000000,0.352941,0.352941,0.500000,1.000000,5.000000,0.750000,0.392857,0.785714,1.000000,1.000000,0.000000,0.750000,0.500000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.006227,semantic_dependency_v1
arithmetic_affine_w4__resub__whole_output_cone,arithmetic_affine_w4,resub,whole_output_cone,4,7,1.000000,1.000000,1.000000,0.000000,0.607143,0.607143,0.607143,1.000000,0.352941,0.352941,0.500000,1.000000,5.000000,0.750000,0.392857,0.785714,1.000000,1.000000,0.000000,0.750000,0.500000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.006804,semantic_dependency_v1
arithmetic_affine_w4__resyn__whole_output_cone,arithmetic_affine_w4,resyn,whole_output_cone,4,7,1.000000,1.000000,1.000000,0.000000,0.607143,0.607143,0.607143,1.000000,0.352941,0.352941,0.500000,1.000000,5.000000,0.750000,0.392857,0.785714,1.000000,1.000000,0.000000,0.750000,0.500000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.006284,semantic_dependency_v1
arithmetic_affine_w4__resyn2__whole_output_cone,arithmetic_affine_w4,resyn2,whole_output_cone,4,7,1.000000,1.000000,1.000000,0.000000,0.607143,0.607143,0.607143,1.000000,0.352941,0.352941,0.500000,1.000000,5.000000,0.750000,0.392857,0.785714,1.000000,1.000000,0.000000,0.750000,0.500000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.005662,semantic_dependency_v1
arithmetic_affine_w4__rewrite__whole_output_cone,arithmetic_affine_w4,rewrite,whole_output_cone,4,7,1.000000,1.000000,1.000000,0.000000,0.607143,0.607143,0.607143,1.000000,0.352941,0.352941,0.500000,1.000000,5.000000,0.750000,0.392857,0.785714,1.000000,1.000000,0.000000,0.750000,0.500000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.006299,semantic_dependency_v1
