candidate_id,region_id,candidate_ranking_mode,rank_after_simulation,ranking_score,simulation_status,sample_match_rate,grammar_family,expression_depth,rtl_cost
arithmetic_add_add_w2__identity__whole_output_cone__cand_0039,arithmetic_add_add_w2__identity__whole_output_cone,hybrid,39,0.966667,simulation_mismatch,0.966667,boolean_direct,1,3
arithmetic_add_add_w2__identity__whole_output_cone__cand_0040,arithmetic_add_add_w2__identity__whole_output_cone,hybrid,40,0.966667,simulation_mismatch,0.966667,boolean_direct,1,3
arithmetic_add_add_w2__identity__whole_output_cone__cand_0041,arithmetic_add_add_w2__identity__whole_output_cone,hybrid,41,0.966667,simulation_mismatch,0.966667,boolean_direct,1,3
arithmetic_add_add_w2__identity__whole_output_cone__cand_0042,arithmetic_add_add_w2__identity__whole_output_cone,hybrid,42,0.966667,simulation_mismatch,0.966667,boolean_direct,1,3
arithmetic_add_add_w2__identity__whole_output_cone__cand_0043,arithmetic_add_add_w2__identity__whole_output_cone,hybrid,43,0.966667,simulation_mismatch,0.966667,boolean_direct,1,3
arithmetic_add_add_w2__identity__whole_output_cone__cand_0044,arithmetic_add_add_w2__identity__whole_output_cone,hybrid,44,0.966667,simulation_mismatch,0.966667,boolean_direct,1,3
arithmetic_add_add_w2__identity__whole_output_cone__cand_0045,arithmetic_add_add_w2__identity__whole_output_cone,hybrid,45,0.966667,simulation_mismatch,0.966667,boolean_direct,1,3
arithmetic_add_add_w2__identity__whole_output_cone__cand_0046,arithmetic_add_add_w2__identity__whole_output_cone,hybrid,46,0.966667,simulation_mismatch,0.966667,boolean_direct,1,3
arithmetic_add_add_w2__identity__whole_output_cone__cand_0047,arithmetic_add_add_w2__identity__whole_output_cone,hybrid,47,0.966667,simulation_mismatch,0.966667,boolean_direct,1,3
arithmetic_add_add_w2__identity__whole_output_cone__cand_0048,arithmetic_add_add_w2__identity__whole_output_cone,hybrid,48,0.966667,simulation_mismatch,0.966667,boolean_direct,1,3
arithmetic_add_add_w2__identity__whole_output_cone__cand_0049,arithmetic_add_add_w2__identity__whole_output_cone,hybrid,49,0.966667,simulation_mismatch,0.966667,boolean_direct,1,3
arithmetic_affine_w2__balance__whole_output_cone__cand_0025,arithmetic_affine_w2__balance__whole_output_cone,hybrid,1,1.000000,simulation_match,1.000000,bitmanip_direct,1,2
arithmetic_affine_w2__balance__whole_output_cone__cand_0005,arithmetic_affine_w2__balance__whole_output_cone,hybrid,2,1.000000,simulation_match,1.000000,arithmetic_direct,1,3
arithmetic_affine_w2__balance__whole_output_cone__cand_0001,arithmetic_affine_w2__balance__whole_output_cone,hybrid,3,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,2
arithmetic_affine_w2__balance__whole_output_cone__cand_0002,arithmetic_affine_w2__balance__whole_output_cone,hybrid,4,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,2
arithmetic_affine_w2__balance__whole_output_cone__cand_0021,arithmetic_affine_w2__balance__whole_output_cone,hybrid,5,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__balance__whole_output_cone__cand_0022,arithmetic_affine_w2__balance__whole_output_cone,hybrid,6,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__balance__whole_output_cone__cand_0023,arithmetic_affine_w2__balance__whole_output_cone,hybrid,7,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__balance__whole_output_cone__cand_0024,arithmetic_affine_w2__balance__whole_output_cone,hybrid,8,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__balance__whole_output_cone__cand_0026,arithmetic_affine_w2__balance__whole_output_cone,hybrid,9,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__balance__whole_output_cone__cand_0027,arithmetic_affine_w2__balance__whole_output_cone,hybrid,10,0.954545,simulation_mismatch,0.954545,bitmanip_direct,1,2
arithmetic_affine_w2__balance__whole_output_cone__cand_0028,arithmetic_affine_w2__balance__whole_output_cone,hybrid,11,0.954545,simulation_mismatch,0.954545,boolean_direct,1,2
arithmetic_affine_w2__balance__whole_output_cone__cand_0003,arithmetic_affine_w2__balance__whole_output_cone,hybrid,12,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__balance__whole_output_cone__cand_0004,arithmetic_affine_w2__balance__whole_output_cone,hybrid,13,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__balance__whole_output_cone__cand_0006,arithmetic_affine_w2__balance__whole_output_cone,hybrid,14,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__balance__whole_output_cone__cand_0007,arithmetic_affine_w2__balance__whole_output_cone,hybrid,15,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__balance__whole_output_cone__cand_0008,arithmetic_affine_w2__balance__whole_output_cone,hybrid,16,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__balance__whole_output_cone__cand_0009,arithmetic_affine_w2__balance__whole_output_cone,hybrid,17,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__balance__whole_output_cone__cand_0010,arithmetic_affine_w2__balance__whole_output_cone,hybrid,18,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__balance__whole_output_cone__cand_0011,arithmetic_affine_w2__balance__whole_output_cone,hybrid,19,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__balance__whole_output_cone__cand_0012,arithmetic_affine_w2__balance__whole_output_cone,hybrid,20,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__balance__whole_output_cone__cand_0013,arithmetic_affine_w2__balance__whole_output_cone,hybrid,21,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__balance__whole_output_cone__cand_0014,arithmetic_affine_w2__balance__whole_output_cone,hybrid,22,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
arithmetic_affine_w2__balance__whole_output_cone__cand_0015,arithmetic_affine_w2__balance__whole_output_cone,hybrid,23,0.954545,simulation_mismatch,0.954545,arithmetic_direct,1,3
