case_id,optimization,ground_truth_region_nodes,output_cone_region_nodes,region_node_delta,region_overlap,jaccard_similarity,boundary_input_delta,boundary_output_delta,whole_output_cone_extra_nodes,whole_output_cone_missing_nodes,same_scalar_interface,same_observable_outputs
boolean_masked_xor_w3,identity,3,3,0,3,1.000000,0,0,[],[],true,true
boolean_masked_xor_w4,identity,4,4,0,4,1.000000,0,0,[],[],true,true
boolean_masked_xor_w6,identity,6,6,0,6,1.000000,0,0,[],[],true,true
boolean_parity_w2,identity,1,1,0,1,1.000000,0,0,[],[],true,true
boolean_parity_w3,identity,1,1,0,1,1.000000,0,0,[],[],true,true
boolean_parity_w4,identity,1,1,0,1,1.000000,0,0,[],[],true,true
boolean_parity_w6,identity,1,1,0,1,1.000000,0,0,[],[],true,true
boolean_parity_w8,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_eq_w2,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_eq_w3,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_eq_w4,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_neq_w2,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_neq_w3,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_neq_w4,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_range_check_w2,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_range_check_w3,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_range_check_w4,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_range_check_w6,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_range_check_w8,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_signed_lt_w2,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_signed_lt_w3,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_signed_lt_w4,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_unsigned_le_w2,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_unsigned_le_w3,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_unsigned_le_w4,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_unsigned_lt_w2,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_unsigned_lt_w3,identity,1,1,0,1,1.000000,0,0,[],[],true,true
comparison_unsigned_lt_w4,identity,1,1,0,1,1.000000,0,0,[],[],true,true
control_arithmetic_select_w2,identity,3,3,0,3,1.000000,0,0,[],[],true,true
control_arithmetic_select_w3,identity,4,4,0,4,1.000000,0,0,[],[],true,true
control_mux2_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
control_mux2_w3,identity,3,3,0,3,1.000000,0,0,[],[],true,true
control_nested_mux_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
control_one_hot_mux_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
control_one_hot_mux_w3,identity,3,3,0,3,1.000000,0,0,[],[],true,true
control_priority_mux_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
