region_id,case_id,optimization,source_type,direction,interface_position,raw_node_name,canonical_node_id,bus_name,bit_index,role
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,input,2,a_2,a_2,a,2,data_operand
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,output,0,y_0,y_0,y,0,output
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,output,1,y_1,y_1,y,1,output
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,output,2,y_2,y_2,y,2,output
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,output,3,y_3,y_3,y,3,output
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,output,4,y_4,y_4,y,4,output
arithmetic_affine_w3__balance__whole_output_cone,arithmetic_affine_w3,balance,whole_output_cone,output,5,y_5,y_5,y,5,output
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,input,0,a_0,a_0,a,0,data_operand
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,input,1,a_1,a_1,a,1,data_operand
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,input,2,a_2,a_2,a,2,data_operand
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,output,0,y_0,y_0,y,0,output
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,output,1,y_1,y_1,y,1,output
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,output,2,y_2,y_2,y,2,output
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,output,3,y_3,y_3,y,3,output
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,output,4,y_4,y_4,y,4,output
arithmetic_affine_w3__compress2rs__whole_output_cone,arithmetic_affine_w3,compress2rs,whole_output_cone,output,5,y_5,y_5,y,5,output
arithmetic_affine_w3__dc2__whole_output_cone,arithmetic_affine_w3,dc2,whole_output_cone,input,0,a_0,a_0,a,0,data_operand
arithmetic_affine_w3__dc2__whole_output_cone,arithmetic_affine_w3,dc2,whole_output_cone,input,1,a_1,a_1,a,1,data_operand
arithmetic_affine_w3__dc2__whole_output_cone,arithmetic_affine_w3,dc2,whole_output_cone,input,2,a_2,a_2,a,2,data_operand
arithmetic_affine_w3__dc2__whole_output_cone,arithmetic_affine_w3,dc2,whole_output_cone,output,0,y_0,y_0,y,0,output
arithmetic_affine_w3__dc2__whole_output_cone,arithmetic_affine_w3,dc2,whole_output_cone,output,1,y_1,y_1,y,1,output
arithmetic_affine_w3__dc2__whole_output_cone,arithmetic_affine_w3,dc2,whole_output_cone,output,2,y_2,y_2,y,2,output
arithmetic_affine_w3__dc2__whole_output_cone,arithmetic_affine_w3,dc2,whole_output_cone,output,3,y_3,y_3,y,3,output
arithmetic_affine_w3__dc2__whole_output_cone,arithmetic_affine_w3,dc2,whole_output_cone,output,4,y_4,y_4,y,4,output
arithmetic_affine_w3__dc2__whole_output_cone,arithmetic_affine_w3,dc2,whole_output_cone,output,5,y_5,y_5,y,5,output
arithmetic_affine_w3__identity__ground_truth_region,arithmetic_affine_w3,identity,ground_truth_region,input,0,a_0,a_0,a,0,data_operand
arithmetic_affine_w3__identity__ground_truth_region,arithmetic_affine_w3,identity,ground_truth_region,input,1,a_1,a_1,a,1,data_operand
arithmetic_affine_w3__identity__ground_truth_region,arithmetic_affine_w3,identity,ground_truth_region,input,2,a_2,a_2,a,2,data_operand
arithmetic_affine_w3__identity__ground_truth_region,arithmetic_affine_w3,identity,ground_truth_region,output,0,y_0,y_0,y,0,output
arithmetic_affine_w3__identity__ground_truth_region,arithmetic_affine_w3,identity,ground_truth_region,output,1,y_1,y_1,y,1,output
arithmetic_affine_w3__identity__ground_truth_region,arithmetic_affine_w3,identity,ground_truth_region,output,2,y_2,y_2,y,2,output
arithmetic_affine_w3__identity__ground_truth_region,arithmetic_affine_w3,identity,ground_truth_region,output,3,y_3,y_3,y,3,output
arithmetic_affine_w3__identity__ground_truth_region,arithmetic_affine_w3,identity,ground_truth_region,output,4,y_4,y_4,y,4,output
arithmetic_affine_w3__identity__ground_truth_region,arithmetic_affine_w3,identity,ground_truth_region,output,5,y_5,y_5,y,5,output
arithmetic_affine_w3__identity__whole_output_cone,arithmetic_affine_w3,identity,whole_output_cone,input,0,a_0,a_0,a,0,data_operand
arithmetic_affine_w3__identity__whole_output_cone,arithmetic_affine_w3,identity,whole_output_cone,input,1,a_1,a_1,a,1,data_operand
arithmetic_affine_w3__identity__whole_output_cone,arithmetic_affine_w3,identity,whole_output_cone,input,2,a_2,a_2,a,2,data_operand
arithmetic_affine_w3__identity__whole_output_cone,arithmetic_affine_w3,identity,whole_output_cone,output,0,y_0,y_0,y,0,output
arithmetic_affine_w3__identity__whole_output_cone,arithmetic_affine_w3,identity,whole_output_cone,output,1,y_1,y_1,y,1,output
arithmetic_affine_w3__identity__whole_output_cone,arithmetic_affine_w3,identity,whole_output_cone,output,2,y_2,y_2,y,2,output
arithmetic_affine_w3__identity__whole_output_cone,arithmetic_affine_w3,identity,whole_output_cone,output,3,y_3,y_3,y,3,output
arithmetic_affine_w3__identity__whole_output_cone,arithmetic_affine_w3,identity,whole_output_cone,output,4,y_4,y_4,y,4,output
arithmetic_affine_w3__identity__whole_output_cone,arithmetic_affine_w3,identity,whole_output_cone,output,5,y_5,y_5,y,5,output
arithmetic_affine_w3__refactor__whole_output_cone,arithmetic_affine_w3,refactor,whole_output_cone,input,0,a_0,a_0,a,0,data_operand
arithmetic_affine_w3__refactor__whole_output_cone,arithmetic_affine_w3,refactor,whole_output_cone,input,1,a_1,a_1,a,1,data_operand
arithmetic_affine_w3__refactor__whole_output_cone,arithmetic_affine_w3,refactor,whole_output_cone,input,2,a_2,a_2,a,2,data_operand
arithmetic_affine_w3__refactor__whole_output_cone,arithmetic_affine_w3,refactor,whole_output_cone,output,0,y_0,y_0,y,0,output
arithmetic_affine_w3__refactor__whole_output_cone,arithmetic_affine_w3,refactor,whole_output_cone,output,1,y_1,y_1,y,1,output
arithmetic_affine_w3__refactor__whole_output_cone,arithmetic_affine_w3,refactor,whole_output_cone,output,2,y_2,y_2,y,2,output
arithmetic_affine_w3__refactor__whole_output_cone,arithmetic_affine_w3,refactor,whole_output_cone,output,3,y_3,y_3,y,3,output
arithmetic_affine_w3__refactor__whole_output_cone,arithmetic_affine_w3,refactor,whole_output_cone,output,4,y_4,y_4,y,4,output
arithmetic_affine_w3__refactor__whole_output_cone,arithmetic_affine_w3,refactor,whole_output_cone,output,5,y_5,y_5,y,5,output
arithmetic_affine_w3__resub__whole_output_cone,arithmetic_affine_w3,resub,whole_output_cone,input,0,a_0,a_0,a,0,data_operand
arithmetic_affine_w3__resub__whole_output_cone,arithmetic_affine_w3,resub,whole_output_cone,input,1,a_1,a_1,a,1,data_operand
arithmetic_affine_w3__resub__whole_output_cone,arithmetic_affine_w3,resub,whole_output_cone,input,2,a_2,a_2,a,2,data_operand
arithmetic_affine_w3__resub__whole_output_cone,arithmetic_affine_w3,resub,whole_output_cone,output,0,y_0,y_0,y,0,output
arithmetic_affine_w3__resub__whole_output_cone,arithmetic_affine_w3,resub,whole_output_cone,output,1,y_1,y_1,y,1,output
arithmetic_affine_w3__resub__whole_output_cone,arithmetic_affine_w3,resub,whole_output_cone,output,2,y_2,y_2,y,2,output
arithmetic_affine_w3__resub__whole_output_cone,arithmetic_affine_w3,resub,whole_output_cone,output,3,y_3,y_3,y,3,output
arithmetic_affine_w3__resub__whole_output_cone,arithmetic_affine_w3,resub,whole_output_cone,output,4,y_4,y_4,y,4,output
arithmetic_affine_w3__resub__whole_output_cone,arithmetic_affine_w3,resub,whole_output_cone,output,5,y_5,y_5,y,5,output
arithmetic_affine_w3__resyn2__whole_output_cone,arithmetic_affine_w3,resyn2,whole_output_cone,input,0,a_0,a_0,a,0,data_operand
arithmetic_affine_w3__resyn2__whole_output_cone,arithmetic_affine_w3,resyn2,whole_output_cone,input,1,a_1,a_1,a,1,data_operand
arithmetic_affine_w3__resyn2__whole_output_cone,arithmetic_affine_w3,resyn2,whole_output_cone,input,2,a_2,a_2,a,2,data_operand
arithmetic_affine_w3__resyn2__whole_output_cone,arithmetic_affine_w3,resyn2,whole_output_cone,output,0,y_0,y_0,y,0,output
arithmetic_affine_w3__resyn2__whole_output_cone,arithmetic_affine_w3,resyn2,whole_output_cone,output,1,y_1,y_1,y,1,output
arithmetic_affine_w3__resyn2__whole_output_cone,arithmetic_affine_w3,resyn2,whole_output_cone,output,2,y_2,y_2,y,2,output
arithmetic_affine_w3__resyn2__whole_output_cone,arithmetic_affine_w3,resyn2,whole_output_cone,output,3,y_3,y_3,y,3,output
arithmetic_affine_w3__resyn2__whole_output_cone,arithmetic_affine_w3,resyn2,whole_output_cone,output,4,y_4,y_4,y,4,output
arithmetic_affine_w3__resyn2__whole_output_cone,arithmetic_affine_w3,resyn2,whole_output_cone,output,5,y_5,y_5,y,5,output
arithmetic_affine_w3__resyn__whole_output_cone,arithmetic_affine_w3,resyn,whole_output_cone,input,0,a_0,a_0,a,0,data_operand
arithmetic_affine_w3__resyn__whole_output_cone,arithmetic_affine_w3,resyn,whole_output_cone,input,1,a_1,a_1,a,1,data_operand
arithmetic_affine_w3__resyn__whole_output_cone,arithmetic_affine_w3,resyn,whole_output_cone,input,2,a_2,a_2,a,2,data_operand
arithmetic_affine_w3__resyn__whole_output_cone,arithmetic_affine_w3,resyn,whole_output_cone,output,0,y_0,y_0,y,0,output
arithmetic_affine_w3__resyn__whole_output_cone,arithmetic_affine_w3,resyn,whole_output_cone,output,1,y_1,y_1,y,1,output
arithmetic_affine_w3__resyn__whole_output_cone,arithmetic_affine_w3,resyn,whole_output_cone,output,2,y_2,y_2,y,2,output
arithmetic_affine_w3__resyn__whole_output_cone,arithmetic_affine_w3,resyn,whole_output_cone,output,3,y_3,y_3,y,3,output
arithmetic_affine_w3__resyn__whole_output_cone,arithmetic_affine_w3,resyn,whole_output_cone,output,4,y_4,y_4,y,4,output
arithmetic_affine_w3__resyn__whole_output_cone,arithmetic_affine_w3,resyn,whole_output_cone,output,5,y_5,y_5,y,5,output
arithmetic_affine_w3__rewrite__whole_output_cone,arithmetic_affine_w3,rewrite,whole_output_cone,input,0,a_0,a_0,a,0,data_operand
arithmetic_affine_w3__rewrite__whole_output_cone,arithmetic_affine_w3,rewrite,whole_output_cone,input,1,a_1,a_1,a,1,data_operand
arithmetic_affine_w3__rewrite__whole_output_cone,arithmetic_affine_w3,rewrite,whole_output_cone,input,2,a_2,a_2,a,2,data_operand
arithmetic_affine_w3__rewrite__whole_output_cone,arithmetic_affine_w3,rewrite,whole_output_cone,output,0,y_0,y_0,y,0,output
arithmetic_affine_w3__rewrite__whole_output_cone,arithmetic_affine_w3,rewrite,whole_output_cone,output,1,y_1,y_1,y,1,output
arithmetic_affine_w3__rewrite__whole_output_cone,arithmetic_affine_w3,rewrite,whole_output_cone,output,2,y_2,y_2,y,2,output
arithmetic_affine_w3__rewrite__whole_output_cone,arithmetic_affine_w3,rewrite,whole_output_cone,output,3,y_3,y_3,y,3,output
arithmetic_affine_w3__rewrite__whole_output_cone,arithmetic_affine_w3,rewrite,whole_output_cone,output,4,y_4,y_4,y,4,output
arithmetic_affine_w3__rewrite__whole_output_cone,arithmetic_affine_w3,rewrite,whole_output_cone,output,5,y_5,y_5,y,5,output
arithmetic_affine_w4__balance__whole_output_cone,arithmetic_affine_w4,balance,whole_output_cone,input,0,a_0,a_0,a,0,data_operand
arithmetic_affine_w4__balance__whole_output_cone,arithmetic_affine_w4,balance,whole_output_cone,input,1,a_1,a_1,a,1,data_operand
arithmetic_affine_w4__balance__whole_output_cone,arithmetic_affine_w4,balance,whole_output_cone,input,2,a_2,a_2,a,2,data_operand
arithmetic_affine_w4__balance__whole_output_cone,arithmetic_affine_w4,balance,whole_output_cone,input,3,a_3,a_3,a,3,data_operand
arithmetic_affine_w4__balance__whole_output_cone,arithmetic_affine_w4,balance,whole_output_cone,output,0,y_0,y_0,y,0,output
