benchmark,optimization,depth,optimized_node,rank,original_candidate,region_score,cone_sim_score,cone_support_jaccard,cone_size_sim,opt_cone_size,orig_cone_size,opt_cone_pis,orig_cone_pis
mux2,balance,1,new_n6,2,new_n5,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,balance,2,new_n6,1,new_n6,1.0,1.0,1.0,1.0,1,1,2,2
mux2,balance,2,new_n6,2,new_n5,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,balance,3,new_n6,1,new_n6,1.0,1.0,1.0,1.0,1,1,2,2
mux2,balance,3,new_n6,2,new_n5,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,refactor,1,new_n5,1,new_n5,1.0,1.0,1.0,1.0,1,1,2,2
mux2,refactor,1,new_n5,2,new_n6,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,refactor,2,new_n5,1,new_n5,1.0,1.0,1.0,1.0,1,1,2,2
mux2,refactor,2,new_n5,2,new_n6,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,refactor,3,new_n5,1,new_n5,1.0,1.0,1.0,1.0,1,1,2,2
mux2,refactor,3,new_n5,2,new_n6,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,refactor,1,new_n6,1,new_n6,1.0,1.0,1.0,1.0,1,1,2,2
mux2,refactor,1,new_n6,2,new_n5,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,refactor,2,new_n6,1,new_n6,1.0,1.0,1.0,1.0,1,1,2,2
mux2,refactor,2,new_n6,2,new_n5,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,refactor,3,new_n6,1,new_n6,1.0,1.0,1.0,1.0,1,1,2,2
mux2,refactor,3,new_n6,2,new_n5,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,resub,1,new_n5,1,new_n5,1.0,1.0,1.0,1.0,1,1,2,2
mux2,resub,1,new_n5,2,new_n6,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,resub,2,new_n5,1,new_n5,1.0,1.0,1.0,1.0,1,1,2,2
mux2,resub,2,new_n5,2,new_n6,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,resub,3,new_n5,1,new_n5,1.0,1.0,1.0,1.0,1,1,2,2
mux2,resub,3,new_n5,2,new_n6,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,resub,1,new_n6,1,new_n6,1.0,1.0,1.0,1.0,1,1,2,2
mux2,resub,1,new_n6,2,new_n5,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,resub,2,new_n6,1,new_n6,1.0,1.0,1.0,1.0,1,1,2,2
mux2,resub,2,new_n6,2,new_n5,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,resub,3,new_n6,1,new_n6,1.0,1.0,1.0,1.0,1,1,2,2
mux2,resub,3,new_n6,2,new_n5,0.4833333333333333,0.5,0.3333333333333333,1.0,1,1,2,2
mux2,resyn2_like,1,new_n5,1,new_n6,0.75,0.5,1.0,1.0,1,1,2,2
