benchmark,source_family,optimization,original_optimized_blif_path,abc_sweep_flow_name,node_count_before,node_count_after,level_count_before,level_count_after,node_reduction,level_reduction,runtime_seconds,abc_reported_equivalence_or_failure,abc_statistics,swept_blif_path
external_iscas85_c6288,iscas85,rewrite,results/abc_native_inputs/external_iscas85_c6288_rewrite.blif,fraig,2305,2305,117,117,0,0,0.0245,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_balance_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_balance_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c6288.blif strash; rewrite write_blif <repo>/results/abc_native_inputs/external_iscas85_c6288_rewrite.blif ===================================================== benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 2305 lev =117 benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 2305 lev =117 ***EOF***",results/abc_native_swept/external_iscas85_c6288_rewrite_fraig.blif
external_iscas85_c6288,iscas85,rewrite,results/abc_native_inputs/external_iscas85_c6288_rewrite.blif,amp_fraig_x,2305,2305,117,117,0,0,0.0237,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_balance_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c6288.blif strash; rewrite write_blif <repo>/results/abc_native_inputs/external_iscas85_c6288_rewrite.blif read_blif <repo>/results/abc_native_inputs/external_iscas85_c6288_rewrite.blif strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_rewrite_fraig.blif ===================================================== benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 2305 lev =117 benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 2305 lev =117 ***EOF***",results/abc_native_swept/external_iscas85_c6288_rewrite_amp_fraig_x.blif
external_iscas85_c6288,iscas85,resyn2,results/abc_native_inputs/external_iscas85_c6288_resyn2.blif,fraig,1870,1870,89,89,0,0,0.0253,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_rewrite_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_rewrite_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c6288.blif strash; balance; rewrite; refactor; balance; rewrite; rewrite -z; balance; refactor -z; rewrite -z; balance write_blif <repo>/results/abc_native_inputs/external_iscas85_c6288_resyn2.blif ===================================================== benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 1870 lev = 89 benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 1870 lev = 89 *",results/abc_native_swept/external_iscas85_c6288_resyn2_fraig.blif
external_iscas85_c6288,iscas85,resyn2,results/abc_native_inputs/external_iscas85_c6288_resyn2.blif,amp_fraig_x,1870,1870,89,89,0,0,0.024,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_rewrite_amp_fraig_x.blif read_blif <repo>/benchmarks/external/iscas85/c6288.blif strash; balance; rewrite; refactor; balance; rewrite; rewrite -z; balance; refactor -z; rewrite -z; balance write_blif <repo>/results/abc_native_inputs/external_iscas85_c6288_resyn2.blif read_blif <repo>/results/abc_native_inputs/external_iscas85_c6288_resyn2.blif strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_resyn2_fraig.blif ===================================================== benchmarks/external/iscas85/raw_bench/c6288: i/o = 32/ 32 lat = 0 and = 1870 lev = 89 benchmarks/external/iscas85/",results/abc_native_swept/external_iscas85_c6288_resyn2_amp_fraig_x.blif
majority3,toy,original,variants/majority3_original.blif,fraig,5,5,3,3,0,0,0.0211,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== write_blif <repo>/results/abc_native_inputs/external_iscas85_c6288_resyn2.blif read_blif <repo>/results/abc_native_inputs/external_iscas85_c6288_resyn2.blif strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_resyn2_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_resyn2_amp_fraig_x.blif ===================================================== majority3 : i/o = 3/ 1 lat = 0 and = 5 lev = 3 majority3 : i/o = 3/ 1 lat = 0 and = 5 lev = 3 ***EOF***",results/abc_native_swept/majority3_original_fraig.blif
majority3,toy,original,variants/majority3_original.blif,amp_fraig_x,5,5,3,3,0,0,0.0219,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== strash fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_resyn2_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_resyn2_amp_fraig_x.blif read_blif <repo>/variants/majority3_original.blif write_blif <repo>/results/abc_native_swept/majority3_original_fraig.blif ===================================================== majority3 : i/o = 3/ 1 lat = 0 and = 5 lev = 3 majority3 : i/o = 3/ 1 lat = 0 and = 5 lev = 3 ***EOF***",results/abc_native_swept/majority3_original_amp_fraig_x.blif
majority3,toy,balance,variants/majority3_balance.blif,fraig,5,5,3,3,0,0,0.0202,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== fraig write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_resyn2_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_resyn2_amp_fraig_x.blif read_blif <repo>/variants/majority3_original.blif write_blif <repo>/results/abc_native_swept/majority3_original_fraig.blif write_blif <repo>/results/abc_native_swept/majority3_original_amp_fraig_x.blif ===================================================== majority3 : i/o = 3/ 1 lat = 0 and = 5 lev = 3 majority3 : i/o = 3/ 1 lat = 0 and = 5 lev = 3 ***EOF***",results/abc_native_swept/majority3_balance_fraig.blif
majority3,toy,balance,variants/majority3_balance.blif,amp_fraig_x,5,5,3,3,0,0,0.0201,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== &fraig -x &put write_blif <repo>/results/abc_native_swept/external_iscas85_c6288_resyn2_amp_fraig_x.blif read_blif <repo>/variants/majority3_original.blif write_blif <repo>/results/abc_native_swept/majority3_original_fraig.blif write_blif <repo>/results/abc_native_swept/majority3_original_amp_fraig_x.blif read_blif <repo>/variants/majority3_balance.blif strash fraig write_blif <repo>/results/abc_native_swept/majority3_balance_fraig.blif ===================================================== majority3 : i/o = 3/ 1 lat = 0 and = 5 lev = 3 majority3 : i/o = 3/ 1 lat = 0 and = 5 lev = 3 ***EOF***",results/abc_native_swept/majority3_balance_amp_fraig_x.blif
majority3,toy,rewrite,variants/majority3_rewrite.blif,fraig,5,5,3,3,0,0,0.0235,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== write_blif <repo>/results/abc_native_swept/majority3_original_amp_fraig_x.blif read_blif <repo>/variants/majority3_balance.blif strash fraig write_blif <repo>/results/abc_native_swept/majority3_balance_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/majority3_balance_amp_fraig_x.blif ===================================================== majority3 : i/o = 3/ 1 lat = 0 and = 5 lev = 3 majority3 : i/o = 3/ 1 lat = 0 and = 5 lev = 3 ***EOF***",results/abc_native_swept/majority3_rewrite_fraig.blif
majority3,toy,rewrite,variants/majority3_rewrite.blif,amp_fraig_x,5,5,3,3,0,0,0.0207,completed,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) ================== Command history ================== strash fraig write_blif <repo>/results/abc_native_swept/majority3_balance_fraig.blif source -s abc.rc &get -n &fraig -x &put write_blif <repo>/results/abc_native_swept/majority3_balance_amp_fraig_x.blif read_blif <repo>/variants/majority3_rewrite.blif write_blif <repo>/results/abc_native_swept/majority3_rewrite_fraig.blif ===================================================== majority3 : i/o = 3/ 1 lat = 0 and = 5 lev = 3 majority3 : i/o = 3/ 1 lat = 0 and = 5 lev = 3 ***EOF***",results/abc_native_swept/majority3_rewrite_amp_fraig_x.blif
