config,weights,benchmark,optimization,total_nodes,avg_rank1_score,rank1_consistency,rank1_precision,mrr
baseline,sim=0.55 sup=0.35 dep=0.10,generated_random_medium,resyn2,17,0.8465652765012255,1.0,0.29411764705882354,0.29411764705882354
baseline,sim=0.55 sup=0.35 dep=0.10,generated_random_medium,resyn2_like,17,0.8465652765012255,1.0,0.29411764705882354,0.29411764705882354
baseline,sim=0.55 sup=0.35 dep=0.10,generated_random_medium,rewrite,17,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_random_medium,rewrite_z,17,0.8865435431985295,1.0,0.5294117647058824,0.5294117647058824
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_16,balance,44,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_16,compress2rs,44,0.5940954386422576,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_16,dc2,44,0.5204847807032947,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_16,refactor,44,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_16,refactor_z,44,0.9873776522549715,1.0,0.9318181818181818,0.9318181818181818
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_16,resub,44,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_16,resyn,44,0.6067032489227974,1.0,0.06818181818181818,0.06818181818181818
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_16,resyn2,44,0.5940954386422576,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_16,resyn2_like,44,0.5940954386422576,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_16,rewrite,44,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_16,rewrite_z,44,0.6067032489227974,1.0,0.06818181818181818,0.06818181818181818
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_32,balance,92,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_32,compress2rs,92,0.5762843585635796,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_32,dc2,92,0.47502291056713847,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_32,refactor,92,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_32,refactor_z,92,0.9939632249915082,1.0,0.967391304347826,0.967391304347826
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_32,resub,92,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_32,resyn,92,0.5823141808716639,1.0,0.03260869565217391,0.03260869565217391
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_32,resyn2,92,0.5762843585635796,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_32,resyn2_like,92,0.5762843585635796,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_32,rewrite,92,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_32,rewrite_z,92,0.5823141808716639,1.0,0.03260869565217391,0.03260869565217391
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_8,balance,20,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_8,compress2rs,20,0.6256765873015873,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_8,dc2,20,0.5677959956709958,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_8,refactor,20,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_8,refactor_z,20,0.971875,1.0,0.85,0.85
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_8,resub,20,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_8,resyn,20,0.6538015873015872,1.0,0.15,0.15
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_8,resyn2,20,0.6256765873015873,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_8,resyn2_like,20,0.6256765873015873,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_8,rewrite,20,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,generated_xor_chain_8,rewrite_z,20,0.6538015873015872,1.0,0.15,0.15
baseline,sim=0.55 sup=0.35 dep=0.10,majority3,balance,4,0.965625,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,majority3,compress2rs,3,0.8624999999999999,1.0,0.3333333333333333,0.3333333333333333
baseline,sim=0.55 sup=0.35 dep=0.10,majority3,dc2,3,0.8624999999999999,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,majority3,refactor,3,0.8298611111111112,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,majority3,refactor_z,3,0.8624999999999999,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,majority3,resub,4,1.0,1.0,0.25,0.25
baseline,sim=0.55 sup=0.35 dep=0.10,majority3,resyn,4,0.965625,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,majority3,resyn2,3,0.8624999999999999,1.0,0.3333333333333333,0.3333333333333333
baseline,sim=0.55 sup=0.35 dep=0.10,majority3,resyn2_like,3,0.8624999999999999,1.0,0.3333333333333333,0.3333333333333333
baseline,sim=0.55 sup=0.35 dep=0.10,majority3,rewrite,4,1.0,1.0,0.25,0.25
baseline,sim=0.55 sup=0.35 dep=0.10,majority3,rewrite_z,4,0.965625,1.0,0.25,0.25
baseline,sim=0.55 sup=0.35 dep=0.10,mux2,balance,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,mux2,compress2rs,2,0.725,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,mux2,dc2,2,0.725,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,mux2,refactor,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,mux2,refactor_z,2,0.725,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,mux2,resub,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,mux2,resyn,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,mux2,resyn2,2,0.725,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,mux2,resyn2_like,2,0.725,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,mux2,rewrite,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,mux2,rewrite_z,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_comparator_4,balance,14,0.9741071428571428,1.0,0.07142857142857142,0.07142857142857142
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_comparator_4,compress2rs,14,0.9741071428571428,1.0,0.07142857142857142,0.07142857142857142
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_comparator_4,dc2,14,0.9339285714285713,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_comparator_4,refactor,14,1.0,1.0,0.14285714285714285,0.14285714285714285
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_comparator_4,refactor_z,14,0.9741071428571428,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_comparator_4,resub,14,1.0,1.0,0.14285714285714285,0.14285714285714285
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_comparator_4,resyn,14,0.8535714285714285,1.0,0.07142857142857142,0.07142857142857142
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_comparator_4,resyn2,14,0.9741071428571428,1.0,0.07142857142857142,0.07142857142857142
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_comparator_4,resyn2_like,14,0.9741071428571428,1.0,0.07142857142857142,0.07142857142857142
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_comparator_4,rewrite,14,1.0,1.0,0.14285714285714285,0.14285714285714285
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_comparator_4,rewrite_z,14,0.9255952380952381,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_full_adder,balance,9,0.9847222222222223,1.0,0.5555555555555556,0.5555555555555556
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_full_adder,compress2rs,5,0.925,1.0,0.4,0.4
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_full_adder,dc2,6,0.8489583333333334,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_full_adder,refactor,8,0.953125,1.0,0.375,0.375
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_full_adder,refactor_z,8,0.9015625,1.0,0.25,0.25
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_full_adder,resub,9,1.0,1.0,0.6666666666666666,0.6666666666666666
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_full_adder,resyn,9,0.9847222222222223,1.0,0.5555555555555556,0.5555555555555556
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_full_adder,resyn2,8,0.9015625,1.0,0.375,0.375
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_full_adder,resyn2_like,8,0.9015625,1.0,0.375,0.375
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_full_adder,rewrite,9,1.0,1.0,0.6666666666666666,0.6666666666666666
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_full_adder,rewrite_z,9,0.9847222222222223,1.0,0.6666666666666666,0.6666666666666666
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_mux_4to1,balance,10,0.9058333333333334,1.0,0.2,0.2
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_mux_4to1,compress2rs,8,0.6505208333333333,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_mux_4to1,dc2,8,0.7497395833333333,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_mux_4to1,refactor,8,0.7619791666666668,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_mux_4to1,refactor_z,8,0.6505208333333333,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_mux_4to1,resub,10,1.0,1.0,0.1,0.1
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_mux_4to1,resyn,8,0.7286458333333333,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_mux_4to1,resyn2,8,0.6505208333333333,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_mux_4to1,resyn2_like,8,0.6505208333333333,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_mux_4to1,rewrite,8,0.7286458333333333,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_mux_4to1,rewrite_z,8,0.7286458333333333,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_parity_8,balance,20,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_parity_8,compress2rs,20,0.859375,1.0,0.15,0.15
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_parity_8,dc2,20,0.8070833333333333,1.0,0.05,0.05
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_parity_8,refactor,20,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_parity_8,refactor_z,20,0.8875,1.0,0.4,0.4
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_parity_8,resub,20,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_parity_8,resyn,20,0.971875,1.0,0.75,0.75
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_parity_8,resyn2,20,0.859375,1.0,0.15,0.15
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_parity_8,resyn2_like,20,0.859375,1.0,0.15,0.15
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_parity_8,rewrite,20,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_parity_8,rewrite_z,20,0.971875,1.0,0.75,0.75
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_priority_enc_4,balance,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_priority_enc_4,compress2rs,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_priority_enc_4,dc2,2,0.775,1.0,0.5,0.5
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_priority_enc_4,refactor,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_priority_enc_4,refactor_z,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_priority_enc_4,resub,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_priority_enc_4,resyn,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_priority_enc_4,resyn2,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_priority_enc_4,resyn2_like,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_priority_enc_4,rewrite,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,real_hand_written_priority_enc_4,rewrite_z,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,toy_and_or,balance,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,toy_and_or,compress2rs,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,toy_and_or,dc2,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,toy_and_or,refactor,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,toy_and_or,refactor_z,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,toy_and_or,resub,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,toy_and_or,resyn,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,toy_and_or,resyn2,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,toy_and_or,resyn2_like,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,toy_and_or,rewrite,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,toy_and_or,rewrite_z,2,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,xor_chain,balance,8,1.0,1.0,1.0,1.0
baseline,sim=0.55 sup=0.35 dep=0.10,xor_chain,compress2rs,8,0.7096875,1.0,0.0,0.0
baseline,sim=0.55 sup=0.35 dep=0.10,xor_chain,dc2,8,0.7148958333333334,1.0,0.0,0.0
