benchmark,optimization,depth,total_opt_nodes,avg_rank1_region_score,avg_rank1_cone_sim,avg_rank1_cone_support,avg_rank1_cone_size_sim,pct_rank1_above_0_8
generated_mux_tree_4,rewrite_z,2,8,0.8177083333333334,0.71875,0.9375,0.8333333333333334,0.25
generated_mux_tree_4,rewrite_z,3,8,0.8177083333333334,0.71875,0.9375,0.8333333333333334,0.25
generated_mux_tree_8,balance,1,20,0.8755000000000001,0.975,0.72,1.0,0.6
generated_mux_tree_8,balance,2,20,0.9377777777777778,1.0,0.8444444444444444,1.0,0.8
generated_mux_tree_8,balance,3,20,0.968,1.0,0.92,1.0,0.9
generated_mux_tree_8,compress2rs,1,20,0.7423333333333333,0.8,0.6433333333333333,0.85,0.4
generated_mux_tree_8,compress2rs,2,20,0.787281746031746,0.7625,0.8234126984126984,0.7666666666666666,0.4
generated_mux_tree_8,compress2rs,3,20,0.8052777777777778,0.775,0.8611111111111112,0.7333333333333333,0.4
generated_mux_tree_8,dc2,1,20,0.5556249999999999,0.73125,0.3333333333333333,0.5666666666666667,0.0
generated_mux_tree_8,dc2,2,20,0.550297619047619,0.6625,0.3892857142857143,0.6333333333333333,0.0
generated_mux_tree_8,dc2,3,20,0.5535119047619047,0.6625,0.4125,0.5726190476190476,0.0
generated_mux_tree_8,refactor,1,20,0.8755000000000001,0.975,0.72,1.0,0.6
generated_mux_tree_8,refactor,2,20,0.9377777777777778,1.0,0.8444444444444444,1.0,0.8
generated_mux_tree_8,refactor,3,20,0.968,1.0,0.92,1.0,0.9
generated_mux_tree_8,refactor_z,1,20,0.83675,0.8625,0.795,0.875,0.6
generated_mux_tree_8,refactor_z,2,20,0.8646785714285714,0.8375,0.8835714285714286,0.925,0.6
generated_mux_tree_8,refactor_z,3,20,0.8717857142857143,0.825,0.919047619047619,0.9166666666666666,0.6
generated_mux_tree_8,resub,1,20,0.8755000000000001,0.975,0.72,1.0,0.6
generated_mux_tree_8,resub,2,20,0.9377777777777778,1.0,0.8444444444444444,1.0,0.8
generated_mux_tree_8,resub,3,20,0.968,1.0,0.92,1.0,0.9
generated_mux_tree_8,resyn,1,20,0.6771666666666667,0.725,0.5866666666666667,0.8,0.0
generated_mux_tree_8,resyn,2,20,0.7765,0.775,0.7725,0.8,0.2
generated_mux_tree_8,resyn,3,20,0.8147727272727273,0.775,0.8681818181818182,0.8,0.3
generated_mux_tree_8,resyn2,1,20,0.7423333333333333,0.8,0.6433333333333333,0.85,0.4
generated_mux_tree_8,resyn2,2,20,0.787281746031746,0.7625,0.8234126984126984,0.7666666666666666,0.4
generated_mux_tree_8,resyn2,3,20,0.8052777777777778,0.775,0.8611111111111112,0.7333333333333333,0.4
generated_mux_tree_8,resyn2_like,1,20,0.7423333333333333,0.8,0.6433333333333333,0.85,0.4
generated_mux_tree_8,resyn2_like,2,20,0.787281746031746,0.7625,0.8234126984126984,0.7666666666666666,0.4
generated_mux_tree_8,resyn2_like,3,20,0.8052777777777778,0.775,0.8611111111111112,0.7333333333333333,0.4
generated_mux_tree_8,rewrite,1,20,0.8755000000000001,0.975,0.72,1.0,0.6
generated_mux_tree_8,rewrite,2,20,0.9377777777777778,1.0,0.8444444444444444,1.0,0.8
generated_mux_tree_8,rewrite,3,20,0.968,1.0,0.92,1.0,0.9
generated_mux_tree_8,rewrite_z,1,20,0.6771666666666667,0.725,0.5866666666666667,0.8,0.0
generated_mux_tree_8,rewrite_z,2,20,0.7765,0.775,0.7725,0.8,0.2
generated_mux_tree_8,rewrite_z,3,20,0.8147727272727273,0.775,0.8681818181818182,0.8,0.3
generated_random_medium,balance,1,17,1.0,1.0,1.0,1.0,1.0
generated_random_medium,balance,2,17,1.0,1.0,1.0,1.0,1.0
generated_random_medium,balance,3,17,1.0,1.0,1.0,1.0,1.0
generated_random_medium,compress2rs,1,17,0.7577751198135504,0.8276510799632353,0.6711484593837534,0.7549019607843137,0.5294117647058824
generated_random_medium,compress2rs,2,17,0.7763094554227942,0.8314424402573529,0.7568627450980392,0.5784313725490196,0.47058823529411764
generated_random_medium,compress2rs,3,17,0.81162247764873,0.832763671875,0.827807486631016,0.6411764705882352,0.7058823529411765
generated_random_medium,dc2,1,17,0.789441348805147,0.8694709329044118,0.6980392156862745,0.7549019607843137,0.6470588235294118
generated_random_medium,dc2,2,17,0.8403465565913866,0.8617015165441176,0.8546218487394958,0.6764705882352942,0.7058823529411765
generated_random_medium,dc2,3,17,0.8423647857580532,0.8324046415441176,0.8781512605042017,0.7490196078431373,0.7647058823529411
generated_random_medium,refactor,1,17,1.0,1.0,1.0,1.0,1.0
generated_random_medium,refactor,2,17,1.0,1.0,1.0,1.0,1.0
generated_random_medium,refactor,3,17,1.0,1.0,1.0,1.0,1.0
generated_random_medium,refactor_z,1,17,0.8718060661764706,0.8494944852941176,0.9117647058823529,0.8235294117647058,0.7647058823529411
generated_random_medium,refactor_z,2,17,0.919958256740196,0.8948184742647058,1.0,0.7254901960784313,1.0
generated_random_medium,refactor_z,3,17,0.919958256740196,0.8948184742647058,1.0,0.7254901960784313,1.0
generated_random_medium,resub,1,17,1.0,1.0,1.0,1.0,1.0
generated_random_medium,resub,2,17,1.0,1.0,1.0,1.0,1.0
generated_random_medium,resub,3,17,1.0,1.0,1.0,1.0,1.0
generated_random_medium,resyn,1,17,0.7999770767682073,0.8759765625,0.6868347338935574,0.8725490196078431,0.5882352941176471
generated_random_medium,resyn,2,17,0.8339183818058473,0.8849235983455882,0.8046218487394958,0.696078431372549,0.5882352941176471
generated_random_medium,resyn,3,17,0.8525341796875,0.8862448299632353,0.8411764705882353,0.7294117647058823,0.7058823529411765
generated_random_medium,resyn2,1,17,0.7577751198135504,0.8276510799632353,0.6711484593837534,0.7549019607843137,0.5294117647058824
generated_random_medium,resyn2,2,17,0.7763094554227942,0.8314424402573529,0.7568627450980392,0.5784313725490196,0.47058823529411764
generated_random_medium,resyn2,3,17,0.81162247764873,0.832763671875,0.827807486631016,0.6411764705882352,0.7058823529411765
generated_random_medium,resyn2_like,1,17,0.7577751198135504,0.8276510799632353,0.6711484593837534,0.7549019607843137,0.5294117647058824
generated_random_medium,resyn2_like,2,17,0.7763094554227942,0.8314424402573529,0.7568627450980392,0.5784313725490196,0.47058823529411764
generated_random_medium,resyn2_like,3,17,0.81162247764873,0.832763671875,0.827807486631016,0.6411764705882352,0.7058823529411765
generated_random_medium,rewrite,1,17,1.0,1.0,1.0,1.0,1.0
generated_random_medium,rewrite,2,17,1.0,1.0,1.0,1.0,1.0
