benchmark,optimization,optimized_node,rank,original_candidate,combined_score,simulation_similarity,support_overlap,depth_similarity,optimized_level,original_level,optimized_fingerprint,original_fingerprint,optimized_support_size,original_support_size,optimized_fanin_count,original_fanin_count
generated_adder_4,balance,new_n27,2,new_n35,0.8125,0.75,1.0,0.5,5,6,a29f685b4a595ff0,17bcb4dd2a9e6776,5,5,2,2
generated_adder_4,balance,new_n27,3,new_n28,0.725,0.5,1.0,1.0,5,5,a29f685b4a595ff0,4d7a9a3b447efb56,5,5,2,2
generated_adder_4,balance,new_n27,4,new_n34,0.725,0.5,1.0,1.0,5,5,a29f685b4a595ff0,47d1804ed8430f98,5,5,2,2
generated_adder_4,balance,new_n27,5,new_n36,0.6958333333333334,0.75,0.7142857142857143,0.3333333333333333,5,7,a29f685b4a595ff0,9765d48dd9ca3fa0,5,7,2,2
generated_adder_4,balance,new_n28,1,new_n28,1.0,1.0,1.0,1.0,5,5,4d7a9a3b447efb56,4d7a9a3b447efb56,5,5,2,2
generated_adder_4,balance,new_n28,2,new_n27,0.725,0.5,1.0,1.0,5,5,4d7a9a3b447efb56,a29f685b4a595ff0,5,5,2,2
generated_adder_4,balance,new_n28,3,new_n34,0.725,0.5,1.0,1.0,5,5,4d7a9a3b447efb56,47d1804ed8430f98,5,5,2,2
generated_adder_4,balance,new_n28,4,new_n35,0.675,0.5,1.0,0.5,5,6,4d7a9a3b447efb56,17bcb4dd2a9e6776,5,5,2,2
generated_adder_4,balance,new_n28,5,new_n25,0.6558333333333334,0.75,0.6,0.3333333333333333,5,3,4d7a9a3b447efb56,6651021d80b896ca,5,3,2,2
generated_adder_4,balance,new_n30,1,new_n30,1.0,1.0,1.0,1.0,1,1,c24c80cf98124e46,c24c80cf98124e46,2,2,2,2
generated_adder_4,balance,new_n30,2,new_n31,0.725,0.5,1.0,1.0,1,1,c24c80cf98124e46,3a2b9632c1bf022c,2,2,2,2
generated_adder_4,balance,new_n30,3,new_n42,0.725,0.5,1.0,1.0,1,1,c24c80cf98124e46,907a44cc1e67d175,2,2,2,2
generated_adder_4,balance,new_n30,4,new_n32,0.5375,0.25,1.0,0.5,1,2,c24c80cf98124e46,921ff67e38bdf4a7,2,2,2,2
generated_adder_4,balance,new_n30,5,new_n36,0.5267857142857143,0.75,0.2857142857142857,0.14285714285714285,1,7,c24c80cf98124e46,9765d48dd9ca3fa0,2,7,2,2
generated_adder_4,balance,new_n31,1,new_n31,1.0,1.0,1.0,1.0,1,1,3a2b9632c1bf022c,3a2b9632c1bf022c,2,2,2,2
generated_adder_4,balance,new_n31,2,new_n30,0.725,0.5,1.0,1.0,1,1,3a2b9632c1bf022c,c24c80cf98124e46,2,2,2,2
generated_adder_4,balance,new_n31,3,new_n42,0.725,0.5,1.0,1.0,1,1,3a2b9632c1bf022c,907a44cc1e67d175,2,2,2,2
generated_adder_4,balance,new_n31,4,new_n32,0.5375,0.25,1.0,0.5,1,2,3a2b9632c1bf022c,921ff67e38bdf4a7,2,2,2,2
generated_adder_4,balance,new_n31,5,new_n36,0.5267857142857143,0.75,0.2857142857142857,0.14285714285714285,1,7,3a2b9632c1bf022c,9765d48dd9ca3fa0,2,7,2,2
generated_adder_4,balance,new_n32,1,new_n32,1.0,1.0,1.0,1.0,2,2,921ff67e38bdf4a7,921ff67e38bdf4a7,2,2,2,2
generated_adder_4,balance,new_n32,2,new_n42,0.8125,0.75,1.0,0.5,2,1,921ff67e38bdf4a7,907a44cc1e67d175,2,2,2,2
generated_adder_4,balance,new_n32,3,new_n30,0.5375,0.25,1.0,0.5,2,1,921ff67e38bdf4a7,c24c80cf98124e46,2,2,2,2
generated_adder_4,balance,new_n32,4,new_n31,0.5375,0.25,1.0,0.5,2,1,921ff67e38bdf4a7,3a2b9632c1bf022c,2,2,2,2
generated_adder_4,balance,new_n32,5,new_n37,0.5291666666666668,0.75,0.2857142857142857,0.16666666666666666,2,7,921ff67e38bdf4a7,fc3ae64897cda2dd,2,7,2,2
generated_adder_4,balance,new_n33,1,new_n33,1.0,1.0,1.0,1.0,1,1,1e47fdfb89658e16,1e47fdfb89658e16,2,2,2,2
generated_adder_4,balance,new_n33,2,new_n23,0.8125,0.75,1.0,0.5,1,2,1e47fdfb89658e16,f6ca69658a9287c9,2,2,2,2
generated_adder_4,balance,new_n33,3,new_n21,0.725,0.5,1.0,1.0,1,1,1e47fdfb89658e16,e451a988382af5d9,2,2,2,2
generated_adder_4,balance,new_n33,4,new_n22,0.725,0.5,1.0,1.0,1,1,1e47fdfb89658e16,2157b90811e3ea67,2,2,2,2
generated_adder_4,balance,new_n33,5,new_n28,0.5725,0.75,0.4,0.2,1,5,1e47fdfb89658e16,4d7a9a3b447efb56,2,5,2,2
generated_adder_4,balance,new_n34,1,new_n34,1.0,1.0,1.0,1.0,5,5,47d1804ed8430f98,47d1804ed8430f98,5,5,2,2
generated_adder_4,balance,new_n34,2,new_n27,0.725,0.5,1.0,1.0,5,5,47d1804ed8430f98,a29f685b4a595ff0,5,5,2,2
generated_adder_4,balance,new_n34,3,new_n28,0.725,0.5,1.0,1.0,5,5,47d1804ed8430f98,4d7a9a3b447efb56,5,5,2,2
generated_adder_4,balance,new_n34,4,new_n37,0.6958333333333334,0.75,0.7142857142857143,0.3333333333333333,5,7,47d1804ed8430f98,fc3ae64897cda2dd,5,7,2,2
generated_adder_4,balance,new_n34,5,new_n43,0.6958333333333334,0.75,0.7142857142857143,0.3333333333333333,5,7,47d1804ed8430f98,393e67c0209b96d7,5,7,2,2
generated_adder_4,balance,new_n35,1,new_n35,1.0,1.0,1.0,1.0,6,6,17bcb4dd2a9e6776,17bcb4dd2a9e6776,5,5,2,2
