benchmark,optimization,optimized_node,original_candidate,sat_status,union_support_size,exact_distance,sample_size,seed,sampled_distance,absolute_error,exact_rank,sampled_rank,absolute_rank_delta
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,1024,1,0.2333984375,0.0166015625,18.5,16.0,2.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,1024,2,0.25390625,0.00390625,18.5,17.0,1.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,1024,3,0.2529296875,0.0029296875,18.5,21.0,2.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,1024,4,0.248046875,0.001953125,18.5,20.0,1.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,4096,0,0.243408203125,0.006591796875,18.5,16.0,2.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,4096,1,0.24462890625,0.00537109375,18.5,17.0,1.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,4096,2,0.2431640625,0.0068359375,18.5,17.0,1.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,4096,3,0.256103515625,0.006103515625,18.5,20.0,1.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,4096,4,0.25634765625,0.00634765625,18.5,19.0,0.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,8192,0,0.24853515625,0.00146484375,18.5,17.0,1.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,8192,1,0.24462890625,0.00537109375,18.5,15.0,3.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,8192,2,0.246826171875,0.003173828125,18.5,18.0,0.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,8192,3,0.242919921875,0.007080078125,18.5,15.0,3.5
external_iscas85_c2670,compress2rs,new_n693,new_n796,verified,7,0.25,8192,4,0.238037109375,0.011962890625,18.5,15.0,3.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,128,0,0.265625,0.015625,18.5,21.0,2.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,128,1,0.2109375,0.0390625,18.5,15.0,3.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,128,2,0.265625,0.015625,18.5,21.0,2.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,128,3,0.2578125,0.0078125,18.5,18.0,0.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,128,4,0.3125,0.0625,18.5,21.0,2.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,512,0,0.271484375,0.021484375,18.5,20.5,2.0
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,512,1,0.220703125,0.029296875,18.5,16.0,2.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,512,2,0.28125,0.03125,18.5,22.0,3.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,512,3,0.259765625,0.009765625,18.5,19.0,0.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,512,4,0.228515625,0.021484375,18.5,16.0,2.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,1024,0,0.2666015625,0.0166015625,18.5,20.0,1.5
external_iscas85_c2670,refactor,new_n721,new_n796,verified,12,0.25,1024,1,0.2509765625,0.0009765625,18.5,19.0,0.5
