benchmark,optimization,node,fingerprint,level,fanin_count,support_size
xor_chain,resub,new_n9,597aa5553ea2bc85,3,2,3
xor_chain,resub,new_n10,a17d090e2495ba3e,3,2,3
xor_chain,resub,new_n11,1b5de8fc02772682,4,2,3
xor_chain,resub,new_n12,64c66b160f25d9ce,5,2,4
xor_chain,resub,new_n13,257ae95f5acaeec8,5,2,4
xor_chain,resyn2_like,new_n6,6334802f019e35b8,1,2,2
xor_chain,resyn2_like,new_n7,e7864e0d207fd4c5,1,2,2
xor_chain,resyn2_like,new_n8,a0d456d97ce49900,2,2,2
xor_chain,resyn2_like,new_n9,44ab2dc144b8b1e5,1,2,2
xor_chain,resyn2_like,new_n10,43edd419fc12157e,1,2,2
xor_chain,resyn2_like,new_n11,ad889d08448b6125,2,2,2
xor_chain,resyn2_like,new_n12,2c8200904442756b,3,2,4
xor_chain,resyn2_like,new_n13,b1cfea6a330432f6,3,2,4
xor_chain,rewrite,new_n6,4a091495267f98ed,1,2,2
xor_chain,rewrite,new_n7,e69c37e034ff2ec1,1,2,2
xor_chain,rewrite,new_n8,25afa9f3ec302406,2,2,2
xor_chain,rewrite,new_n9,597aa5553ea2bc85,3,2,3
xor_chain,rewrite,new_n10,a17d090e2495ba3e,3,2,3
xor_chain,rewrite,new_n11,1b5de8fc02772682,4,2,3
xor_chain,rewrite,new_n12,64c66b160f25d9ce,5,2,4
xor_chain,rewrite,new_n13,257ae95f5acaeec8,5,2,4
