stable_target_id,scope,status,abc_available,claimed_global,reason,schema_version
9d0cf8cf978db7ad,Sprime_vs_I,equivalent,true,false,identical_driver,necessity_first_targets_v1
bbcae55a2b79726f,S_vs_Sprime,equivalent,true,false,identical_driver,necessity_first_targets_v1
bbcae55a2b79726f,Sprime_vs_I,equivalent,true,false,identical_driver,necessity_first_targets_v1
1a4ee0508c00ee05,S_vs_Sprime,equivalent,true,false,identical_driver,necessity_first_targets_v1
1a4ee0508c00ee05,Sprime_vs_I,equivalent,true,false,identical_driver,necessity_first_targets_v1
6eb93e4570dc5846,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
6eb93e4570dc5846,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
c2cb051c4a341743,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
c2cb051c4a341743,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
d799cb02c31d9356,S_vs_Sprime,equivalent,true,false,identical_driver,necessity_first_targets_v1
d799cb02c31d9356,Sprime_vs_I,equivalent,true,false,identical_driver,necessity_first_targets_v1
804d74cc95b24886,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
804d74cc95b24886,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
3678a9633b5b9e60,S_vs_Sprime,equivalent,true,true,,necessity_first_targets_v1
3678a9633b5b9e60,Sprime_vs_I,equivalent,true,true,,necessity_first_targets_v1
dc9a0374e99bffb0,S_vs_Sprime,equivalent,true,false,identical_driver,necessity_first_targets_v1
dc9a0374e99bffb0,Sprime_vs_I,equivalent,true,false,identical_driver,necessity_first_targets_v1
44ce54e10e10f232,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
44ce54e10e10f232,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
202040fdc0c4f44d,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
202040fdc0c4f44d,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
eeb098e77b210ec9,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
eeb098e77b210ec9,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
e7130cbc12573d52,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
e7130cbc12573d52,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
cb6fbab9c5809dc1,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
cb6fbab9c5809dc1,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
48c5e5788e430a6d,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
48c5e5788e430a6d,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
6b8716255ebdb208,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
6b8716255ebdb208,Sprime_vs_I,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
868c3cfdf581d7c0,S_vs_Sprime,not_run,true,false,search_budget_exhaustion,necessity_first_targets_v1
