stable_target_id,benchmark_id,flow,optimized_target_node,target_origin,rank,score,source_blind,schema_version
c2cb051c4a341743,generated_mux_tree_4,resyn2,new_n10,ranked_internal_node,4,110.824,true,necessity_first_targets_v1
d799cb02c31d9356,generated_mux_tree_4,resyn2,new_n13,ranked_internal_node,5,110.318,true,necessity_first_targets_v1
804d74cc95b24886,generated_mux_tree_4,resyn2,new_n11,ranked_internal_node,6,110.271,true,necessity_first_targets_v1
3678a9633b5b9e60,generated_mux_tree_4,resyn2,new_n14,ranked_internal_node,7,110.259,true,necessity_first_targets_v1
dc9a0374e99bffb0,generated_mux_tree_4,resyn2,new_n9,ranked_internal_node,8,110.231,true,necessity_first_targets_v1
44ce54e10e10f232,generated_mux_tree_8,dc2,new_n19,ranked_internal_node,1,111.000,true,necessity_first_targets_v1
202040fdc0c4f44d,generated_mux_tree_8,dc2,new_n20,ranked_internal_node,2,110.906,true,necessity_first_targets_v1
eeb098e77b210ec9,generated_mux_tree_8,dc2,new_n30,ranked_internal_node,3,110.875,true,necessity_first_targets_v1
e7130cbc12573d52,generated_mux_tree_8,dc2,new_n28,ranked_internal_node,4,110.808,true,necessity_first_targets_v1
cb6fbab9c5809dc1,generated_mux_tree_8,dc2,new_n18,ranked_internal_node,5,110.792,true,necessity_first_targets_v1
48c5e5788e430a6d,generated_mux_tree_8,dc2,new_n22,ranked_internal_node,6,110.749,true,necessity_first_targets_v1
6b8716255ebdb208,generated_mux_tree_8,dc2,new_n15,ranked_internal_node,7,110.741,true,necessity_first_targets_v1
868c3cfdf581d7c0,generated_mux_tree_8,dc2,new_n32,ranked_internal_node,8,110.663,true,necessity_first_targets_v1
bb8c4b2107d20992,generated_mux_tree_8,resyn2,new_n22,ranked_internal_node,1,110.984,true,necessity_first_targets_v1
f114ebc2ccc5f399,generated_mux_tree_8,resyn2,new_n15,ranked_internal_node,2,110.871,true,necessity_first_targets_v1
d0acdf86fe225ffe,generated_mux_tree_8,resyn2,new_n29,ranked_internal_node,3,110.851,true,necessity_first_targets_v1
cde9e114d4be7283,generated_mux_tree_8,resyn2,new_n26,ranked_internal_node,4,110.843,true,necessity_first_targets_v1
f88000aa6cd5b126,generated_mux_tree_8,resyn2,new_n31,ranked_internal_node,5,110.761,true,necessity_first_targets_v1
8035e9f4b2922f75,generated_mux_tree_8,resyn2,new_n32,ranked_internal_node,6,110.729,true,necessity_first_targets_v1
aeb284d48148cacc,generated_mux_tree_8,resyn2,new_n23,ranked_internal_node,7,110.725,true,necessity_first_targets_v1
2f3ded849a259150,generated_mux_tree_8,resyn2,new_n30,ranked_internal_node,8,110.686,true,necessity_first_targets_v1
