graft_id,target_id,region_id,mapping_category,anchor_origin,evidence_level,equivalence_scope,boundary_utility,proof_status,valid_ebi_ebo_cut,cycle_free,incoming_bypass_count,outgoing_bypass_count,whole_design_expansion,global_cec_status,accepted,failure_reason,schema_version
semantic_graft_0037,semantic_target_0037,arithmetic_constant_multiply_w2__identity__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0038,semantic_target_0038,arithmetic_constant_multiply_w2__resyn2__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0039,semantic_target_0039,arithmetic_constant_multiply_w3__identity__ground_truth_region,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0040,semantic_target_0040,arithmetic_constant_multiply_w3__identity__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0041,semantic_target_0041,arithmetic_constant_multiply_w4__identity__ground_truth_region,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0042,semantic_target_0042,arithmetic_constant_multiply_w4__identity__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0043,semantic_target_0043,arithmetic_constant_multiply_w6__identity__ground_truth_region,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0044,semantic_target_0044,arithmetic_constant_multiply_w6__identity__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0045,semantic_target_0045,arithmetic_constant_multiply_w8__identity__ground_truth_region,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
semantic_graft_0046,semantic_target_0046,arithmetic_constant_multiply_w8__identity__whole_output_cone,formal_semantic_graft_anchor,cegis_reconstructed_expression,formal_smt,region_only_until_global_cec,not_usable_frontier,proven_expression_unusable_as_boundary_anchor,false,not_checked_without_frontier,0,0,false,not_run_no_valid_graft,false,all_bounded_graph_active_strategies_rejected,semantic_graft_v1
