proof_id,source_family,source_table,target_id,tested_interface_width,proved_lower_bound,best_upper_bound,proof_object_path,proof_object_sha256,machine_checkable,schema_version
bdf83120b675a440,necessity_first_targets,results/necessity_first_target_discovery/formal_locality_results.csv,3678a9633b5b9e60,3,3,3,results/evidence_advancement/proof_objects/locality/bdf83120b675a440.json,ccd40049de06dfe7254ef5e25eedd696c7b274503b225a6388471ecb80b74d1b,true,evidence_advancement_v1
6d9958b03d235614,necessity_first_targets,results/necessity_first_target_discovery/formal_locality_results.csv,dc9a0374e99bffb0,2,2,2,results/evidence_advancement/proof_objects/locality/6d9958b03d235614.json,670e8483f921df4ef2cb9a860c90d83f11dab67581159a2329ffb089f0261760,true,evidence_advancement_v1
94627e330ac09428,necessity_first_targets,results/necessity_first_target_discovery/formal_locality_results.csv,aeb284d48148cacc,2,2,2,results/evidence_advancement/proof_objects/locality/94627e330ac09428.json,d460858c9b324c5913f540896d0fd5659107551b09c8a2a0333e6574775ec574,true,evidence_advancement_v1
7d1de4705672072f,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,min1,1,1,1,results/evidence_advancement/proof_objects/locality/7d1de4705672072f.json,da00230094f2b608e24a5b6e1017914d2e338a4772d20e706f6eab35bd0423da,true,evidence_advancement_v1
3154882c582bf4b9,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,min2_xor,2,2,2,results/evidence_advancement/proof_objects/locality/3154882c582bf4b9.json,685888e71cf095230066db31e58ea16b7aa355acc4274046bb38067a9302d7c8,true,evidence_advancement_v1
2171c288285f2c1d,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,min3_maj,3,3,3,results/evidence_advancement/proof_objects/locality/2171c288285f2c1d.json,f1729f48efbffe32e16e683686de0f557afaeac4a287e3623b3f2ac70a18bf7b,true,evidence_advancement_v1
50ebc5a09f333f13,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,permute_invert,2,2,2,results/evidence_advancement/proof_objects/locality/50ebc5a09f333f13.json,d9b18936a54f163f02f74b0076ca24a4932c8a7e3b86e3588c74ac06867e8ce9,true,evidence_advancement_v1
b821dc1d9ab5c48f,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,nonlinear_and,2,2,2,results/evidence_advancement/proof_objects/locality/b821dc1d9ab5c48f.json,0345400b585aa3de6a49f6434ce4c972abea804383ed6d5457c0cac0d4ed8452,true,evidence_advancement_v1
53dd6e736811f2d0,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,affine_bool,2,2,2,results/evidence_advancement/proof_objects/locality/53dd6e736811f2d0.json,ab0ef98041df5480f315465cc28862ca307d20872fe38cc56ad19cc2eb3a9862,true,evidence_advancement_v1
30da3f0f74a1f671,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0001,1,1,1,results/evidence_advancement/proof_objects/locality/30da3f0f74a1f671.json,c91f5de3227763510373bfc78e53a5fdce8e78c1503730d20c79532621b409b0,true,evidence_advancement_v1
c8c195f5b864939a,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0002,1,1,1,results/evidence_advancement/proof_objects/locality/c8c195f5b864939a.json,985f09490b188cb019e1bbca03dc88cfacec8b0ad1531f9befe367a6a76e166c,true,evidence_advancement_v1
c586a153b639ecb2,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0003,3,3,3,results/evidence_advancement/proof_objects/locality/c586a153b639ecb2.json,26072dbebe9f3b72576e158792b74058585c0527a3bfc586ae76bc24a7387544,true,evidence_advancement_v1
5a5e4dd1c19afa28,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0004,1,1,1,results/evidence_advancement/proof_objects/locality/5a5e4dd1c19afa28.json,18c1a2ca298a34f860d4cd8cf8853992b610499f9b62986d6ef1a825fd9fd589,true,evidence_advancement_v1
058851d683057826,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0005,1,1,1,results/evidence_advancement/proof_objects/locality/058851d683057826.json,148fa264faf2c0d5d6fb9bf3e327a651fcfc703ebac3c819e255458f3aa0af1f,true,evidence_advancement_v1
fae6b4de50489ceb,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0006,3,3,3,results/evidence_advancement/proof_objects/locality/fae6b4de50489ceb.json,d2722e2bda7fb5a20b1be3ec7f3718aee97db1d01a8243b27fe9b0b7b9722394,true,evidence_advancement_v1
8380e3dcad6c89af,formal_locality_barriers,results/formal_locality_barriers/input_exact_minimum_certificates.csv,real_0007,3,3,3,results/evidence_advancement/proof_objects/locality/8380e3dcad6c89af.json,2cd09a993799b22b037b3f0a4cfc201e3d46e4adcafbef1e20776749a2866130,true,evidence_advancement_v1
