mode,candidate_id,region_id,case_id,operator,width,formal_backend,proof_scope,formal_status,formal_evidence_level,solver_result,counterexample_available,counterexample_assignment,proof_runtime,timeout,unsupported_reason,schema_version
oracle_bus,bitmanip_zero_extend_w8__identity__ground_truth_region__blind_cegis__0003,bitmanip_zero_extend_w8__identity__ground_truth_region,bitmanip_zero_extend_w8,zero_extend,16,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.166954,false,,z3_cegis_proof_v1
oracle_bus,bitmanip_zero_extend_w8__identity__whole_output_cone__blind_cegis__0003,bitmanip_zero_extend_w8__identity__whole_output_cone,bitmanip_zero_extend_w8,zero_extend,16,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.168107,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_affine_w2__balance__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,affine,5,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.001096,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_affine_w2__resyn__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,affine,5,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.000947,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_affine_w2__rewrite__whole_output_cone__blind_cegis__0001,arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,affine,5,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.001005,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_constant_multiply_w2__compress2rs__whole_output_cone__blind_cegis__0007,arithmetic_constant_multiply_w2__compress2rs__whole_output_cone,arithmetic_constant_multiply_w2,constant_multiply,4,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.002451,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_constant_multiply_w2__identity__ground_truth_region__blind_cegis__0007,arithmetic_constant_multiply_w2__identity__ground_truth_region,arithmetic_constant_multiply_w2,constant_multiply,4,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.001371,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_constant_multiply_w2__identity__whole_output_cone__blind_cegis__0007,arithmetic_constant_multiply_w2__identity__whole_output_cone,arithmetic_constant_multiply_w2,constant_multiply,4,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.001304,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_constant_multiply_w2__resyn2__whole_output_cone__blind_cegis__0007,arithmetic_constant_multiply_w2__resyn2__whole_output_cone,arithmetic_constant_multiply_w2,constant_multiply,4,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.002391,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_constant_multiply_w3__identity__ground_truth_region__blind_cegis__0007,arithmetic_constant_multiply_w3__identity__ground_truth_region,arithmetic_constant_multiply_w3,constant_multiply,5,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.003418,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_constant_multiply_w3__identity__whole_output_cone__blind_cegis__0007,arithmetic_constant_multiply_w3__identity__whole_output_cone,arithmetic_constant_multiply_w3,constant_multiply,5,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.003600,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_constant_multiply_w4__identity__ground_truth_region__blind_cegis__0007,arithmetic_constant_multiply_w4__identity__ground_truth_region,arithmetic_constant_multiply_w4,constant_multiply,6,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.005740,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_constant_multiply_w4__identity__whole_output_cone__blind_cegis__0007,arithmetic_constant_multiply_w4__identity__whole_output_cone,arithmetic_constant_multiply_w4,constant_multiply,6,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.005633,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_constant_multiply_w6__identity__ground_truth_region__blind_cegis__0007,arithmetic_constant_multiply_w6__identity__ground_truth_region,arithmetic_constant_multiply_w6,constant_multiply,8,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.032331,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_constant_multiply_w6__identity__whole_output_cone__blind_cegis__0007,arithmetic_constant_multiply_w6__identity__whole_output_cone,arithmetic_constant_multiply_w6,constant_multiply,8,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.032302,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_constant_multiply_w8__identity__ground_truth_region__blind_cegis__0007,arithmetic_constant_multiply_w8__identity__ground_truth_region,arithmetic_constant_multiply_w8,constant_multiply,10,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.198311,false,,z3_cegis_proof_v1
oracle_bus,arithmetic_constant_multiply_w8__identity__whole_output_cone__blind_cegis__0007,arithmetic_constant_multiply_w8__identity__whole_output_cone,arithmetic_constant_multiply_w8,constant_multiply,10,z3,region,formally_verified_region,formal_smt,unsat,false,{},0.212398,false,,z3_cegis_proof_v1
