analysis_target_id,target_id,benchmark,split,failure_group,source_result,source_path,optimized_path,optimized_target_vector,source_hash,optimized_hash,pi_alignment_status,artifact_status,provenance_status,failure_reason,schema_version
real_0011,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_dc2.blif,"[""new_n24""]",eebf0e6858f7fd66,34d3b34ad2942b5b,ok,resolved,resolved,,formal_locality_barriers_v1
real_0012,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_dc2.blif,"[""new_n27""]",eebf0e6858f7fd66,34d3b34ad2942b5b,ok,resolved,resolved,,formal_locality_barriers_v1
real_0013,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_dc2.blif,"[""new_n28""]",eebf0e6858f7fd66,34d3b34ad2942b5b,ok,resolved,resolved,,formal_locality_barriers_v1
real_0014,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_dc2.blif,"[""new_n15""]",eebf0e6858f7fd66,34d3b34ad2942b5b,ok,resolved,resolved,,formal_locality_barriers_v1
real_0015,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,generated_mux_tree_8,heldout,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_dc2.blif,"[""new_n19""]",eebf0e6858f7fd66,34d3b34ad2942b5b,ok,resolved,resolved,,formal_locality_barriers_v1
real_0016,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_dc2.blif,"[""new_n29""]",eebf0e6858f7fd66,34d3b34ad2942b5b,ok,resolved,resolved,,formal_locality_barriers_v1
real_0017,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_resyn2.blif,"[""new_n15""]",eebf0e6858f7fd66,25044f0097f06ad4,ok,resolved,resolved,,formal_locality_barriers_v1
real_0018,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_resyn2.blif,"[""new_n19""]",eebf0e6858f7fd66,25044f0097f06ad4,ok,resolved,resolved,,formal_locality_barriers_v1
real_0019,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,generated_mux_tree_8,dev,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_resyn2.blif,"[""new_n29""]",eebf0e6858f7fd66,25044f0097f06ad4,ok,resolved,resolved,,formal_locality_barriers_v1
real_0020,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,generated_mux_tree_8,heldout,no_relevant_source_consumer_window_under_bounds,old_materialized_anchor,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_resyn2.blif,"[""new_n20""]",eebf0e6858f7fd66,25044f0097f06ad4,ok,resolved,resolved,,formal_locality_barriers_v1
