benchmark,benchmark_family,coi_name,optimization,anchor_mode,spec_path,impl_path,coi_source,spec_node_count,impl_node_count,coi_node_count,extended_region_node_count,boundary_extension_ratio,original_bi_count,original_bo_count,extended_bi_count,extended_bo_count,anchor_count,cut_valid,cycle_free,cycle_resolution_iterations,cycle_conflict_count,invalidated_anchor_count,cycle_resolution_status,recovery_success,failure_reason,runtime_seconds,evidence_level,whole_design_expansion,input_boundary_distance,output_boundary_distance,mean_anchor_distance,max_anchor_distance,extended_boundary_inputs,extended_boundary_outputs,region_nodes
generated_multiplier_2,generated,multiplier_middle_products,rewrite,exact_only,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_rewrite.blif,generated_ground_truth,12,9,5,1,0.0,4,1,6,1,7,False,True,0,0,0,cycle_free,False,COI nodes are not enclosed by recovered region,9.591714479029179e-05,unresolved,False,0,0,0.0,0,a0;a1;b0;b1;new_n12;new_n13,p1,p1
generated_multiplier_2,generated,multiplier_middle_products,rewrite,formal_all,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_rewrite.blif,generated_ground_truth,12,9,5,1,0.0,4,1,6,1,7,False,True,0,0,0,cycle_free,False,COI nodes are not enclosed by recovered region,9.04998742043972e-05,unresolved,False,0,0,0.0,0,a0;a1;b0;b1;new_n12;new_n13,p1,p1
generated_mux_tree_4,generated,mux_tree_root,balance,exact_only,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_balance.blif,generated_ground_truth,9,9,3,1,0.0,3,1,5,1,6,True,True,0,0,0,cycle_free,True,valid,0.00014037499204277992,formal_exhaustive,False,0,0,0.0,0,new_n10;new_n13;new_n14;new_n15;s0,out,out
generated_mux_tree_4,generated,mux_tree_root,balance,formal_all,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_balance.blif,generated_ground_truth,9,9,3,1,0.0,3,1,5,1,6,True,True,0,0,0,cycle_free,True,valid,0.00012729200534522533,formal_cec,False,0,0,0.0,0,new_n10;new_n13;new_n14;new_n15;s0,out,out
generated_mux_tree_4,generated,mux_tree_root,dc2,exact_only,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_dc2.blif,generated_ground_truth,9,9,3,4,0.16666666666666666,3,1,4,1,5,True,True,0,0,0,cycle_free,True,valid,0.00013120914809405804,formal_exhaustive,False,0,0,0.0,0,new_n13;new_n8;new_n9;s0,out,new_n10;new_n14;new_n15;out
generated_mux_tree_4,generated,mux_tree_root,dc2,formal_all,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_dc2.blif,generated_ground_truth,9,9,3,4,0.16666666666666666,3,1,4,1,5,True,True,0,0,0,cycle_free,True,valid,0.00012145796790719032,formal_cec,False,0,0,0.0,0,new_n13;new_n8;new_n9;s0,out,new_n10;new_n14;new_n15;out
generated_mux_tree_4,generated,mux_tree_root,resyn2,exact_only,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_resyn2.blif,generated_ground_truth,9,9,3,9,1.0,3,1,6,1,7,False,True,0,0,0,cycle_free,False,recovered region expands to nearly the whole design,0.00013645784929394722,unresolved,True,0,0,0.0,0,d0;d1;d2;d3;s0;s1,out,new_n10;new_n11;new_n12;new_n13;new_n14;new_n15;new_n8;new_n9;out
generated_mux_tree_4,generated,mux_tree_root,resyn2,formal_all,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_resyn2.blif,generated_ground_truth,9,9,3,9,1.0,3,1,6,1,7,False,True,0,0,0,cycle_free,False,recovered region expands to nearly the whole design,0.00012900005094707012,unresolved,True,0,0,0.0,0,d0;d1;d2;d3;s0;s1,out,new_n10;new_n11;new_n12;new_n13;new_n14;new_n15;new_n8;new_n9;out
generated_mux_tree_4,generated,mux_tree_root,rewrite,exact_only,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_rewrite.blif,generated_ground_truth,9,9,3,1,0.0,3,1,5,1,6,True,True,0,0,0,cycle_free,True,valid,0.00011208304204046726,formal_exhaustive,False,0,0,0.0,0,new_n10;new_n13;new_n14;new_n15;s0,out,out
generated_mux_tree_4,generated,mux_tree_root,rewrite,formal_all,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_rewrite.blif,generated_ground_truth,9,9,3,1,0.0,3,1,5,1,6,True,True,0,0,0,cycle_free,True,valid,0.00012466683983802795,formal_cec,False,0,0,0.0,0,new_n10;new_n13;new_n14;new_n15;s0,out,out
generated_mux_tree_8,generated,mux_tree_upper_root,balance,exact_only,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_balance.blif,generated_ground_truth,21,21,4,1,0.0,3,1,5,1,6,False,True,0,0,0,cycle_free,False,COI nodes are not enclosed by recovered region,9.183306246995926e-05,unresolved,False,0,0,0.0,0,new_n24;new_n29;new_n31;new_n32;s0,out,out
generated_mux_tree_8,generated,mux_tree_upper_root,balance,formal_all,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_balance.blif,generated_ground_truth,21,21,4,1,0.0,3,1,5,1,6,False,True,0,0,0,cycle_free,False,COI nodes are not enclosed by recovered region,8.124997839331627e-05,unresolved,False,0,0,0.0,0,new_n24;new_n29;new_n31;new_n32;s0,out,out
generated_mux_tree_8,generated,mux_tree_upper_root,dc2,exact_only,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_dc2.blif,generated_ground_truth,21,21,4,21,1.0,3,1,11,1,12,False,True,0,0,0,cycle_free,False,recovered region expands to nearly the whole design,0.0001788339577615261,unresolved,True,0,0,0.0,0,d0;d1;d2;d3;d4;d5;d6;d7;s0;s1;s2,out,new_n13;new_n14;new_n15;new_n16;new_n17;new_n18;new_n19;new_n20;new_n21;new_n22;new_n23;new_n24;new_n25;new_n26;new_n27;new_n28;new_n29;new_n30;new_n31;new_n32;out
generated_mux_tree_8,generated,mux_tree_upper_root,dc2,formal_all,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_dc2.blif,generated_ground_truth,21,21,4,21,1.0,3,1,11,1,12,False,True,0,0,0,cycle_free,False,recovered region expands to nearly the whole design,0.00018154201097786427,unresolved,True,0,0,0.0,0,d0;d1;d2;d3;d4;d5;d6;d7;s0;s1;s2,out,new_n13;new_n14;new_n15;new_n16;new_n17;new_n18;new_n19;new_n20;new_n21;new_n22;new_n23;new_n24;new_n25;new_n26;new_n27;new_n28;new_n29;new_n30;new_n31;new_n32;out
generated_mux_tree_8,generated,mux_tree_upper_root,resyn2,exact_only,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_resyn2.blif,generated_ground_truth,21,21,4,13,0.5294117647058824,3,1,10,1,11,True,True,0,0,0,cycle_free,True,valid,0.0003017920535057783,formal_exhaustive,False,0,0,0.0,0,new_n13;new_n14;new_n16;new_n17;new_n22;new_n23;new_n25;new_n26;s0;s1,out,new_n15;new_n18;new_n19;new_n20;new_n21;new_n24;new_n27;new_n28;new_n29;new_n30;new_n31;new_n32;out
generated_mux_tree_8,generated,mux_tree_upper_root,resyn2,formal_all,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_resyn2.blif,generated_ground_truth,21,21,4,13,0.5294117647058824,3,1,10,1,11,True,True,0,0,0,cycle_free,True,valid,0.00021674996241927147,formal_cec,False,0,0,0.0,0,new_n13;new_n14;new_n16;new_n17;new_n22;new_n23;new_n25;new_n26;s0;s1,out,new_n15;new_n18;new_n19;new_n20;new_n21;new_n24;new_n27;new_n28;new_n29;new_n30;new_n31;new_n32;out
generated_mux_tree_8,generated,mux_tree_upper_root,rewrite,exact_only,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_rewrite.blif,generated_ground_truth,21,21,4,1,0.0,3,1,5,1,6,False,True,0,0,0,cycle_free,False,COI nodes are not enclosed by recovered region,9.254203177988529e-05,unresolved,False,0,0,0.0,0,new_n24;new_n29;new_n31;new_n32;s0,out,out
generated_mux_tree_8,generated,mux_tree_upper_root,rewrite,formal_all,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_rewrite.blif,generated_ground_truth,21,21,4,1,0.0,3,1,5,1,6,False,True,0,0,0,cycle_free,False,COI nodes are not enclosed by recovered region,8.479203097522259e-05,unresolved,False,0,0,0.0,0,new_n24;new_n29;new_n31;new_n32;s0,out,out
