trajectory_id,checkpoint_id,boundary_id,residual_set,residual_width,search_status,solver_result,minimum_status,residual_lower_bound,residual_upper_bound,runtime_s,timeout,schema_version
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_nonmonotonic_factor__b0,[],0,non_decomposable,sat,excluded_or_nonminimum,0,,0.001370,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_nonmonotonic_factor__b0,"[""x0""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001348,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_nonmonotonic_factor__b0,"[""x1""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001344,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_nonmonotonic_factor__b0,"[""r0""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001369,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_nonmonotonic_factor__b0,"[""x0"", ""x1""]",2,non_decomposable,sat,excluded_or_nonminimum,2,,0.001249,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_nonmonotonic_factor__b0,"[""x0"", ""r0""]",2,decomposable,unsat,exact_minimum,2,2,0.001392,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp000_source,controlled_nonmonotonic_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001059,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp001_strash_1,controlled_nonmonotonic_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000860,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp002_rewrite_1,controlled_nonmonotonic_factor__b0,[],0,non_decomposable,sat,excluded_or_nonminimum,0,,0.001330,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp002_rewrite_1,controlled_nonmonotonic_factor__b0,"[""x0""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001373,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp002_rewrite_1,controlled_nonmonotonic_factor__b0,"[""x1""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001374,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp002_rewrite_1,controlled_nonmonotonic_factor__b0,"[""r0""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001374,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp002_rewrite_1,controlled_nonmonotonic_factor__b0,"[""x0"", ""x1""]",2,non_decomposable,sat,excluded_or_nonminimum,2,,0.001185,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp002_rewrite_1,controlled_nonmonotonic_factor__b0,"[""x0"", ""r0""]",2,decomposable,unsat,exact_minimum,2,2,0.001378,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp003_balance_1,controlled_nonmonotonic_factor__b0,[],0,non_decomposable,sat,excluded_or_nonminimum,0,,0.001351,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp003_balance_1,controlled_nonmonotonic_factor__b0,"[""x0""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001383,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp003_balance_1,controlled_nonmonotonic_factor__b0,"[""x1""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001385,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp003_balance_1,controlled_nonmonotonic_factor__b0,"[""r0""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001394,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp003_balance_1,controlled_nonmonotonic_factor__b0,"[""x0"", ""x1""]",2,non_decomposable,sat,excluded_or_nonminimum,2,,0.001184,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__rewrite_then_balance,controlled__controlled_nonmonotonic_factor__rewrite_then_balance__cp003_balance_1,controlled_nonmonotonic_factor__b0,"[""x0"", ""r0""]",2,decomposable,unsat,exact_minimum,2,2,0.001393,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp000_source,controlled_nonmonotonic_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001047,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp001_strash_1,controlled_nonmonotonic_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000865,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp002_refactor_1,controlled_nonmonotonic_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000647,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp003_dc2_1,controlled_nonmonotonic_factor__b0,[],0,non_decomposable,sat,excluded_or_nonminimum,0,,0.001184,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp003_dc2_1,controlled_nonmonotonic_factor__b0,"[""x0""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001227,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp003_dc2_1,controlled_nonmonotonic_factor__b0,"[""x1""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001217,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp003_dc2_1,controlled_nonmonotonic_factor__b0,"[""r0""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001212,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp003_dc2_1,controlled_nonmonotonic_factor__b0,"[""x0"", ""x1""]",2,non_decomposable,sat,excluded_or_nonminimum,2,,0.001038,false,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__refactor_dc2,controlled__controlled_nonmonotonic_factor__refactor_dc2__cp003_dc2_1,controlled_nonmonotonic_factor__b0,"[""x0"", ""r0""]",2,decomposable,unsat,exact_minimum,2,2,0.001214,false,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp000_source,full_adder_sum__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001287,false,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp001_strash_1,full_adder_sum__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000856,false,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp002_balance_1,full_adder_sum__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000849,false,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp003_rewrite_1,full_adder_sum__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000849,false,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp000_source,full_adder_sum__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001294,false,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp001_strash_1,full_adder_sum__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000853,false,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp002_rewrite_1,full_adder_sum__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000855,false,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp003_balance_1,full_adder_sum__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000843,false,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp000_source,full_adder_sum__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001289,false,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp001_strash_1,full_adder_sum__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000848,false,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp002_refactor_1,full_adder_sum__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000806,false,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp003_dc2_1,full_adder_sum__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001348,false,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp000_source,full_adder_carry__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001017,false,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp001_strash_1,full_adder_carry__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000901,false,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp002_balance_1,full_adder_carry__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000901,false,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp003_rewrite_1,full_adder_carry__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000900,false,semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp000_source,full_adder_carry__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001037,false,semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp001_strash_1,full_adder_carry__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000904,false,semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp002_rewrite_1,full_adder_carry__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000905,false,semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp003_balance_1,full_adder_carry__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000902,false,semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp000_source,full_adder_carry__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001041,false,semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp001_strash_1,full_adder_carry__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000906,false,semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp002_refactor_1,full_adder_carry__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000859,false,semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp003_dc2_1,full_adder_carry__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001367,false,semantic_recoverability_frontier_v1
