boundary_id,trajectory_id,method,first_loss_checkpoint,last_success_checkpoint,non_monotonic,recoverable_fraction,longest_success_interval,schema_version
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,structural,,3,false,1.000000,4,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,blind_functional_refactoring,development__full_adder__mild_balance_rewrite__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,blind_region_replacement,development__full_adder__mild_balance_rewrite__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,blind_semantic_cegis,development__full_adder__mild_balance_rewrite__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,functional_decomposition,development__full_adder__mild_balance_rewrite__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,functional_survival,development__full_adder__mild_balance_rewrite__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,structural,,3,false,1.000000,4,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__refactor_dc2,blind_functional_refactoring,development__full_adder__refactor_dc2__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__refactor_dc2,blind_region_replacement,development__full_adder__refactor_dc2__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__refactor_dc2,blind_semantic_cegis,development__full_adder__refactor_dc2__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__refactor_dc2,functional_decomposition,development__full_adder__refactor_dc2__cp001_strash_1,3,true,0.500000,1,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__refactor_dc2,functional_survival,development__full_adder__refactor_dc2__cp001_strash_1,3,true,0.500000,1,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__refactor_dc2,structural,,3,false,1.000000,4,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__rewrite_then_balance,blind_functional_refactoring,development__full_adder__rewrite_then_balance__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__rewrite_then_balance,blind_region_replacement,development__full_adder__rewrite_then_balance__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__rewrite_then_balance,blind_semantic_cegis,development__full_adder__rewrite_then_balance__cp000_source,,false,0.000000,0,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__rewrite_then_balance,functional_decomposition,development__full_adder__rewrite_then_balance__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__rewrite_then_balance,functional_survival,development__full_adder__rewrite_then_balance__cp001_strash_1,0,false,0.250000,1,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__rewrite_then_balance,structural,,3,false,1.000000,4,semantic_recoverability_frontier_v1
