boundary_id,trajectory_id,method,from_checkpoint,to_checkpoint,transition,from_level,to_level,schema_version
full_adder_carry__b0,heldout__full_adder__refactor_dc2,functional_decomposition,heldout__full_adder__refactor_dc2__cp000_source,heldout__full_adder__refactor_dc2__cp001_strash_1,success_to_failure,R7_oracle_window_decomposition,R8_non_local_global_factorisation,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,functional_decomposition,heldout__full_adder__refactor_dc2__cp002_refactor_1,heldout__full_adder__refactor_dc2__cp003_dc2_1,failure_to_success,R8_non_local_global_factorisation,R5_oracle_divisor_compact_decomposition,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,functional_decomposition,,,summary,longest_success_interval=1,last_success_checkpoint=3,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,functional_survival,heldout__full_adder__refactor_dc2__cp000_source,heldout__full_adder__refactor_dc2__cp001_strash_1,success_to_failure,R1_functional_internal_survival,R9_unresolved,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,functional_survival,heldout__full_adder__refactor_dc2__cp002_refactor_1,heldout__full_adder__refactor_dc2__cp003_dc2_1,failure_to_success,R9_unresolved,R1_functional_internal_survival,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,functional_survival,,,summary,longest_success_interval=1,last_success_checkpoint=3,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,structural,,,summary,longest_success_interval=4,last_success_checkpoint=3,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,blind_functional_refactoring,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,blind_region_replacement,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,blind_semantic_cegis,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,functional_decomposition,heldout__full_adder__rewrite_then_balance__cp000_source,heldout__full_adder__rewrite_then_balance__cp001_strash_1,success_to_failure,R7_oracle_window_decomposition,R8_non_local_global_factorisation,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,functional_decomposition,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,functional_survival,heldout__full_adder__rewrite_then_balance__cp000_source,heldout__full_adder__rewrite_then_balance__cp001_strash_1,success_to_failure,R1_functional_internal_survival,R9_unresolved,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,functional_survival,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,structural,,,summary,longest_success_interval=4,last_success_checkpoint=3,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,blind_functional_refactoring,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,blind_region_replacement,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,blind_semantic_cegis,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,functional_decomposition,development__full_adder__mild_balance_rewrite__cp000_source,development__full_adder__mild_balance_rewrite__cp001_strash_1,success_to_failure,R7_oracle_window_decomposition,R8_non_local_global_factorisation,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,functional_decomposition,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,functional_survival,development__full_adder__mild_balance_rewrite__cp000_source,development__full_adder__mild_balance_rewrite__cp001_strash_1,success_to_failure,R1_functional_internal_survival,R9_unresolved,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,functional_survival,,,summary,longest_success_interval=1,last_success_checkpoint=0,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__mild_balance_rewrite,structural,,,summary,longest_success_interval=4,last_success_checkpoint=3,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__refactor_dc2,blind_functional_refactoring,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__refactor_dc2,blind_region_replacement,,,summary,longest_success_interval=0,last_success_checkpoint=none,semantic_recoverability_frontier_v1
