result_id,benchmark,design_family,split,boundary_id,trajectory_id,checkpoint_id,checkpoint_index,pass_name,method,oracle_mode,recovery_level,recovered,semantic_proof_status,decomposition_status,solver_result,counterexample_available,counterexample_reproduced,runtime_s,timeout,failure_reason,deterministic_seed,schema_version
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1__functional_decomposition__oracle_divisor,controlled_and_factor,controlled_boolean,controlled,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1,2,balance,functional_decomposition,oracle_divisor,R8_non_local_global_factorisation,false,decomposable,decomposable,unsat,false,true,0.000853,false,only_non_local_decomposition_established,0,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1__functional_decomposition__oracle_divisor_support,controlled_and_factor,controlled_boolean,controlled,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1,2,balance,functional_decomposition,oracle_divisor_support,R8_non_local_global_factorisation,false,decomposable,decomposable,unsat,false,true,0.000773,false,only_non_local_decomposition_established,0,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1__functional_decomposition__oracle_window,controlled_and_factor,controlled_boolean,controlled,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1,2,balance,functional_decomposition,oracle_window,R8_non_local_global_factorisation,false,decomposable,decomposable,unsat,false,true,0.000797,false,only_non_local_decomposition_established,0,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1__functional_decomposition__oracle_divisor,controlled_and_factor,controlled_boolean,controlled,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,functional_decomposition,oracle_divisor,R5_oracle_divisor_compact_decomposition,true,decomposable,decomposable,unsat,false,true,0.000658,false,,0,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1__functional_decomposition__oracle_divisor_support,controlled_and_factor,controlled_boolean,controlled,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,functional_decomposition,oracle_divisor_support,R6_oracle_divisor_support_decomposition,true,decomposable,decomposable,unsat,false,true,0.000608,false,,0,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1__functional_decomposition__oracle_window,controlled_and_factor,controlled_boolean,controlled,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,functional_decomposition,oracle_window,R7_oracle_window_decomposition,true,decomposable,decomposable,unsat,false,true,0.000620,false,,0,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp000_source__functional_decomposition__oracle_divisor,controlled_and_factor,controlled_boolean,controlled,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,0,source,functional_decomposition,oracle_divisor,R5_oracle_divisor_compact_decomposition,true,decomposable,decomposable,unsat,false,true,0.001356,false,,0,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp000_source__functional_decomposition__oracle_divisor_support,controlled_and_factor,controlled_boolean,controlled,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,0,source,functional_decomposition,oracle_divisor_support,R6_oracle_divisor_support_decomposition,true,decomposable,decomposable,unsat,false,true,0.001327,false,,0,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp000_source__functional_decomposition__oracle_window,controlled_and_factor,controlled_boolean,controlled,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,0,source,functional_decomposition,oracle_window,R7_oracle_window_decomposition,true,decomposable,decomposable,unsat,false,true,0.001315,false,,0,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1__functional_decomposition__oracle_divisor,controlled_and_factor,controlled_boolean,controlled,controlled_and_factor__b0,controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,1,strash,functional_decomposition,oracle_divisor,R8_non_local_global_factorisation,false,decomposable,decomposable,unsat,false,true,0.000791,false,only_non_local_decomposition_established,0,semantic_recoverability_frontier_v1
