trajectory_id,checkpoint_id,boundary_id,minimum_status,residual_lower_bound,residual_upper_bound,best_residual_set,schema_version
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp003_rewrite_1,full_adder_sum__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp000_source,full_adder_sum__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp001_strash_1,full_adder_sum__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp002_rewrite_1,full_adder_sum__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp003_balance_1,full_adder_sum__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp000_source,full_adder_sum__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp001_strash_1,full_adder_sum__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp002_refactor_1,full_adder_sum__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp003_dc2_1,full_adder_sum__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp000_source,full_adder_carry__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp001_strash_1,full_adder_carry__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp002_balance_1,full_adder_carry__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp003_rewrite_1,full_adder_carry__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp000_source,full_adder_carry__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp001_strash_1,full_adder_carry__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp002_rewrite_1,full_adder_carry__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp003_balance_1,full_adder_carry__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp000_source,full_adder_carry__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp001_strash_1,full_adder_carry__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp002_refactor_1,full_adder_carry__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp003_dc2_1,full_adder_carry__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
