boundary_id,trajectory_id,insertion_checkpoint,suffix_checkpoint,suffix_pass_name,textually_present,graph_active,functionally_equivalent,blind_identifiable,useful_for_decomposition,boundary_survives_suffix,global_cec_status,schema_version
full_adder_sum__b0,development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp000_source,development__full_adder__rewrite_then_balance__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp000_source,development__full_adder__rewrite_then_balance__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp000_source,development__full_adder__refactor_dc2__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp000_source,development__full_adder__refactor_dc2__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_sum__b0,development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp000_source,development__full_adder__refactor_dc2__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp000_source,heldout__full_adder__mild_balance_rewrite__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp000_source,heldout__full_adder__mild_balance_rewrite__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp000_source,heldout__full_adder__mild_balance_rewrite__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp000_source,heldout__full_adder__rewrite_then_balance__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp000_source,heldout__full_adder__rewrite_then_balance__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp000_source,heldout__full_adder__rewrite_then_balance__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp000_source,heldout__full_adder__refactor_dc2__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp000_source,heldout__full_adder__refactor_dc2__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
full_adder_carry__b0,heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp000_source,heldout__full_adder__refactor_dc2__cp001_strash_1,strash,false,false,true,false,false,false,equivalent,semantic_recoverability_frontier_v1
