row_id,oracle_mode,forbidden_fields_present,leakage_status,schema_version
controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1__node_0000,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1__node_0001,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1__node_0002,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1__node_0003,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1__node_0004,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1__node_0005,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1__node_0006,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1__node_0007,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1__node_0000,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1__node_0001,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1__node_0002,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1__node_0003,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1__node_0004,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1__node_0005,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2__cp000_source__node_0000,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2__cp000_source__node_0001,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1__node_0000,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1__node_0001,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1__node_0002,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1__node_0003,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1__node_0004,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1__node_0005,blind,[],pass,semantic_recoverability_frontier_v1
