trajectory_id,checkpoint_id,checkpoint_index,pass_name,blif_path,sha256,artifact_status,artifact_exists,parse_status,schema_version
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp002_balance_1,2,balance,results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__mild_balance_rewrite/cp002_balance_1.blif,32a32b57256ca82eee64327514d2b6f58aa0abbc6b40e8a5b6c0fdf385b5a5bb,materialized,true,parse_valid,semantic_recoverability_frontier_v1
development__full_adder__mild_balance_rewrite,development__full_adder__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__mild_balance_rewrite/cp003_rewrite_1.blif,b554d4ae743332552067c1663710e68203542e3b953a099cd9029417260afc98,materialized,true,parse_valid,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp000_source,0,source,results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__rewrite_then_balance/cp000_source.blif,954a446fceec1933095602fe50dee67a83a5c2e6a0cc946ee289009d634adc42,materialized,true,parse_valid,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp001_strash_1,1,strash,results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__rewrite_then_balance/cp001_strash_1.blif,78412eb72b6ef4bc245c061735387ded2994f09f017824cf97040cb6b47029f4,materialized,true,parse_valid,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp002_rewrite_1,2,rewrite,results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__rewrite_then_balance/cp002_rewrite_1.blif,613330fe38b8c735fe500ad7cdd436cdb23d48ca3aa054d2fda0ef23878cb7ca,materialized,true,parse_valid,semantic_recoverability_frontier_v1
development__full_adder__rewrite_then_balance,development__full_adder__rewrite_then_balance__cp003_balance_1,3,balance,results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__rewrite_then_balance/cp003_balance_1.blif,32a32b57256ca82eee64327514d2b6f58aa0abbc6b40e8a5b6c0fdf385b5a5bb,materialized,true,parse_valid,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp000_source,0,source,results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__refactor_dc2/cp000_source.blif,954a446fceec1933095602fe50dee67a83a5c2e6a0cc946ee289009d634adc42,materialized,true,parse_valid,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp001_strash_1,1,strash,results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__refactor_dc2/cp001_strash_1.blif,78412eb72b6ef4bc245c061735387ded2994f09f017824cf97040cb6b47029f4,materialized,true,parse_valid,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp002_refactor_1,2,refactor,results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__refactor_dc2/cp002_refactor_1.blif,7f94301e9569e0ff763c695161e0a031f3bab66fa5da34d02f219f276d99b8cc,materialized,true,parse_valid,semantic_recoverability_frontier_v1
development__full_adder__refactor_dc2,development__full_adder__refactor_dc2__cp003_dc2_1,3,dc2,results/semantic_recoverability_frontier/artifacts/checkpoints/development__full_adder__refactor_dc2/cp003_dc2_1.blif,f7f3762f3625f7acd1fb8a8d5308b745cc676a8fd97a795dc1398274b02652df,materialized,true,parse_valid,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp000_source,0,source,results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__mild_balance_rewrite/cp000_source.blif,954a446fceec1933095602fe50dee67a83a5c2e6a0cc946ee289009d634adc42,materialized,true,parse_valid,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp001_strash_1,1,strash,results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__mild_balance_rewrite/cp001_strash_1.blif,78412eb72b6ef4bc245c061735387ded2994f09f017824cf97040cb6b47029f4,materialized,true,parse_valid,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp002_balance_1,2,balance,results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__mild_balance_rewrite/cp002_balance_1.blif,32a32b57256ca82eee64327514d2b6f58aa0abbc6b40e8a5b6c0fdf385b5a5bb,materialized,true,parse_valid,semantic_recoverability_frontier_v1
heldout__full_adder__mild_balance_rewrite,heldout__full_adder__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__mild_balance_rewrite/cp003_rewrite_1.blif,b554d4ae743332552067c1663710e68203542e3b953a099cd9029417260afc98,materialized,true,parse_valid,semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp000_source,0,source,results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__rewrite_then_balance/cp000_source.blif,954a446fceec1933095602fe50dee67a83a5c2e6a0cc946ee289009d634adc42,materialized,true,parse_valid,semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp001_strash_1,1,strash,results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__rewrite_then_balance/cp001_strash_1.blif,78412eb72b6ef4bc245c061735387ded2994f09f017824cf97040cb6b47029f4,materialized,true,parse_valid,semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp002_rewrite_1,2,rewrite,results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__rewrite_then_balance/cp002_rewrite_1.blif,20ba9f2796295ef98b4e2c8bfd69ac549a5e870bb0fe06b932b44b6aca2590ca,materialized,true,parse_valid,semantic_recoverability_frontier_v1
heldout__full_adder__rewrite_then_balance,heldout__full_adder__rewrite_then_balance__cp003_balance_1,3,balance,results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__rewrite_then_balance/cp003_balance_1.blif,750a95da6f13369aa391cc823de994a3a471c2b138434074dc57458c1f80892b,materialized,true,parse_valid,semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp000_source,0,source,results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__refactor_dc2/cp000_source.blif,954a446fceec1933095602fe50dee67a83a5c2e6a0cc946ee289009d634adc42,materialized,true,parse_valid,semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp001_strash_1,1,strash,results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__refactor_dc2/cp001_strash_1.blif,ed7531afa3dd979f588e8bbbaba5ae68660d5a4e3b4e17c0f422eb1c0e752bd3,materialized,true,parse_valid,semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp002_refactor_1,2,refactor,results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__refactor_dc2/cp002_refactor_1.blif,078de0ea7d001e19769742d70a7f948ccc1bc74ede7930ad51bf8a31c85641ad,materialized,true,parse_valid,semantic_recoverability_frontier_v1
heldout__full_adder__refactor_dc2,heldout__full_adder__refactor_dc2__cp003_dc2_1,3,dc2,results/semantic_recoverability_frontier/artifacts/checkpoints/heldout__full_adder__refactor_dc2/cp003_dc2_1.blif,0a1564a76a8fb9752be3393b89cc02e63cd799d5707242ef31e5fac66a30debd,materialized,true,parse_valid,semantic_recoverability_frontier_v1
